systematic	common	uniprot	seq_len
	TACR3	P29371	465
	GABRR2	P28476	465
	GABRG1	Q8N1C3	465
	GLRA3	O75311	464
	GLP1R	P43220	463
	ADRA2C	P18825	462
	GPR142	Q7Z601	462
	GABRA5	P31644	462
	CALCRL	Q16602	461
	CHRM1	P11229	460
	HTR2C	P28335	458
	CHRNB3	Q05901	458
	VIPR1	P32241	457
	ADGRE4P	Q86SQ3	457
	CHRNA1	P02708	457
	GLRA1	P23415	457
	HTR3E	A5X5Y0	456
	GABRA1	P14867	456
	KCNA7	Q96RP8	456
	GPHRA	B7ZAQ6	455
	GPHRB	P0CG08	455
	HTR3D	Q70Z44	454
	GPR39	O43194	453
	GABRA6	Q16445	453
	GABRD	O14764	452
	GLRA2	P23416	452
	GPR61	Q9BZJ8	451
	GABRA2	P47869	451
	ADRA2B	P18089	450
	CHRNA10	Q9GZZ6	450
	TTYH1	Q9H313	450
	CCKBR	P32239	447
	HTR3C	Q8WXA8	447
	DRD1	P21728	446
	NPY5R	Q15761	445
	HRH3	Q9Y5N1	445
	KCNJ4	P48050	445
	HCRTR2	O43614	444
	P2RX5	Q93086	444
	DRD2	P14416	443
	EDNRB	P24530	442
	GPRC5C	Q9NQ84	441
	P2RX6	O15547	441
	HTR3B	O95264	441
	SCTR	P47872	440
	HTR6	P50406	440
	GABRP	O00591	440
	VIPR2	P41587	438
	KCNG3	Q8TAE7	436
	KCNJ14	Q9UNX9	436
	GPR150	Q8NGU9	434
	GPR22	Q99680	433
	KCNJ18	B7U540	433
	KCNJ12	Q14500	433
	QRFPR	Q96P65	431
	NPFFR1	Q9GZQ6	430
	KCNK12	Q9HB15	430
	CCKAR	P32238	428
	EDNRA	P25101	427
	KCNN4	O15554	427
	KCNJ2	P63252	427
	NMUR1	Q9HB89	426
	KCNK2	O95069	426
	PANX1	Q96RD7	426
	HCRTR1	O43613	425
	F2R	P25116	425
	CACNG8	Q8WXS5	425
	AVPR1B	P47901	424
	KCNJ8	Q15842	424
	GHRHR	Q02643	423
	GPR83	Q9NYM4	423
	KCNJ6	P48051	423
	HTR1A	P08908	422
	DRD4	P21917	419
	GPR151	Q8TDV0	419
	GPR63	Q9BZJ6	419
	KCNJ5	P48544	419
	NTSR1	P30989	418
	SSTR3	P32745	418
	AVPR1A	P37288	418
	KCNJ16	Q9NPI9	418
	CRHR1	P34998	415
	NMUR2	Q9GZQ4	415
	GPR19	Q15760	415
	ADRB2	P07550	413
	MLNR	O43193	412
	ADORA2A	P29274	412
	ZACN	Q401N2	412
	CRHR2	Q13324	411
	CCDC51	Q96ER9	411
	NTSR2	O95665	410
	CLIC5	Q9NZA1	410
	ADRB3	P13945	408
	KCNK13	Q9HB14	408
	TACR1	P25103	407
	GPR143	P51810	404
	KCNAB3	O43448	404
	GPRC5B	Q9NZH0	403
	PTGER1	P34995	402
	OPN3	Q9H1Y3	402
	OPRM1	P35372	400
	DRD3	P35462	400
	BRS3	P32247	399
	P2RX1	P51575	399
	TACR2	P21452	398
	TRHR	P34981	398
	KISS1R	Q969F8	398
	S1PR5	Q9H228	398
	CATSPER3	Q86XQ3	398
	F2RL1	P55085	397
	P2RX3	P56373	397
	GPR84	Q9NQS5	396
	PTGDR2	Q9Y5Y4	395
	VN1R2	Q8NFZ6	395
	KCNK3	O14649	394
	PROKR1	Q8TCW9	393
	KCNJ9	Q92806	393
	KCNK4	Q9NYG8	393
	PANX3	Q96QZ0	392
	BDKRB2	P30411	391
	SSTR1	P30872	391
	KCNJ1	P48048	391
	HTR1B	P28222	390
	NMBR	P28336	390
	PTGER3	P43115	390
	HRH4	Q9H3N8	390
	KCNJ11	Q14654	390
	OXTR	P30559	389
	UTS2R	Q9UKP6	389
	SSTR4	P31391	388
	HTR4	Q13639	388
	P2RX4	Q99571	388
	GALR2	O43603	387
	HCAR3	P49019	387
	PTGIR	P43119	386
	F2RL3	Q96RI0	385
	ACKR2	O00590	384
	S1PR4	O95977	384
	NPY1R	P25929	384
	GRPR	P30550	384
	PROKR2	Q8NFJ6	384
	OXER1	Q8TDS5	384
	GPR88	Q9GZN0	384
	KCNK18	Q7Z418	384
	S1PR1	P21453	382
	NPY2R	P49146	381
	GPR34	Q9UPC5	381
	APLNR	P35414	380
	OPRK1	P41145	380
	GPR132	Q9UNW8	380
	KCNJ10	P78508	379
	STING1	Q86WV6	379
	CCR7	P32248	378
	S1PR3	Q99500	378
	MAS1L	P35410	378
	HTR1D	P28221	377
	P2RY2	P41231	377
	NPY4R	P50391	375
	GPER1	Q99527	375
	NPY4R2	P0DQD5	375
	GPR27	Q9NS67	375
	KCNJ15	Q99712	375
	F2RL2	O00254	374
	CCR2	P41597	374
	CCR6	P51684	374
	P2RY11	Q96G91	374
	RXFP4	Q8TDU9	374
	KCNK9	Q9NPC2	374
	P2RY1	P47900	373
	CMKLR1	Q99788	373
	GPR173	Q9NS66	373
	CXCR5	P32302	372
	OPRD1	P41143	372
	LPAR5	Q9H1C0	372
	AVPR2	P30518	371
	NPSR1	Q6W5P4	371
	OPRL1	P41146	370
	PRLHR	P49683	370
	LPAR4	Q99677	370
	GPR85	P60893	370
	SSTR2	P30874	369
	CCR9	P51686	369
	OR2T1	O43869	369
	GALR3	O60755	368
	CXCR3	P49682	368
	GPR62	Q9BZJ7	368
	GPR17	Q13304	367
	HTR1F	P30939	366
	GHSR	Q92847	366
	HTR1E	P28566	365
	P2RY4	P51582	365
	GPR68	Q15743	365
	OPN1LW	P04000	364
	OPN1MW	P04001	364
	SSTR5	P35346	364
	LPAR1	Q92633	364
	OPN1MW2	P0DN77	364
	OPN1MW3	P0DN78	364
	AGTR2	P50052	363
	HCAR2	Q8TDS4	363
	GPR78	Q96P69	363
	ACKR3	P25106	362
	CCR10	P46092	362
	GPR4	P46093	362
	GPR6	P46095	362
	MTNR1B	P49286	362
	OR5AU1	Q8NGC0	362
	GPR25	O00155	361
	GPR183	P32249	361
	FFAR4	Q5NUL3	361
	GPR52	Q9Y2T5	361
	CXCR2	P25025	360
	CNR2	P34972	360
	GPR15	P49685	360
	CCR4	P51679	360
	OR1L1	Q8NH94	360
	KCNJ13	O60928	360
	HRH2	P25021	359
	AGTR1	P30556	359
	PTGFR	P43088	359
	PTGDR	Q13258	359
	P2RY8	Q86VZ1	359
	OR5T2	Q8NGG2	359
	OR8S1	Q8NH09	359
	GPR20	Q99678	358
	LTB4R2	Q9NPC1	358
	PTGER2	P43116	358
	GPR87	Q9BY21	358
	HTR5A	P47898	357
	GPRC5A	Q8NFJ5	357
	VN1R5	Q7Z5H4	357
	OR2B2	Q9GZK3	357
	GPR32	O75388	356
	CCR1	P32246	355
	CMKLR2	P46091	355
	CX3CR1	P49238	355
	CCR3	P51677	355
	CCR8	P51685	355
	OR1I1	O60431	355
	OPN5	Q6U736	354
	P2RY13	Q9BPV8	354
	S1PR2	O95136	353
	FPR3	P25089	353
	BDKRB1	P46663	353
	MCHR1	Q99705	353
	LPAR3	Q9UBY5	353
	GPR139	Q6DWJ6	353
	VN1R1	Q9GZP7	353
	CCR5	P51681	352
	CXCR4	P61073	352
	LTB4R	Q15722	352
	FPR2	P25090	351
	TAAR2	Q9P1P5	351
	MCU	Q8NE86	351
	FPR1	P21462	350
	C5AR1	P21730	350
	CXCR1	P25024	350
	MTNR1A	P48039	350
	ACKR4	Q9NPB9	350
	OR52I2	Q8NH67	350
	PACC1	Q9H813	350
	GALR1	P47211	349
	GPR21	Q99679	349
	RHO	P08100	348
	TAAR9	Q96RI9	348
	LPAR2	Q9HBW0	348
	OR3A4P	P47883	348
	OR2T4	Q8NH00	348
	OR1L6	Q8NGR2	347
	GPR148	Q8TDV2	347
	OR6J1	Q8NGC5	347
	OR13C3	Q8NGS6	347
	OR2M2	Q96R28	347
	FFAR3	O14843	346
	GPR42	O15529	346
	HCAR1	Q9BXC0	346
	CYSLTR2	Q9NS75	346
	OR8G5	Q8NG78	346
	OR13D1	Q8NGV5	346
	CALHM1	Q8IU99	346
	OPN1SW	P03999	345
	TAAR6	Q96RI8	345
	GPRC5D	Q9NZD1	345
	OR11G2	Q8NGC1	345
	CCRL2	O00421	344
	LPAR6	P43657	344
	OR4A15	Q8NGL6	344
	CALHM3	Q86XJ0	344
	TBXA2R	P21731	343
	OR6K6	Q8NGW6	343
	OR1E3	Q8WZA6	343
	MRGPRF	Q96AM1	343
	TAAR3P	Q9P1P4	343
	CXCR6	O00574	342
	PTAFR	P25105	342
	TAAR8	Q969N4	342
	P2RY12	Q9H244	342
	OR51F2	Q8NH61	342
	MCHR2	Q969V1	340
	OR5T3	Q8NGG3	340
	TAAR1	Q96RJ0	339
	P2RY10	O00398	339
	OR7E24	Q6IFN5	339
	TAS2R39	P59534	338
	P2RY14	Q15391	338
	GPR160	Q9UJ42	338
	TAAR5	O14804	337
	GPR65	Q8IYL9	337
	OXGR1	Q96P68	337
	C5AR2	Q9P296	337
	CYSLTR1	Q9Y271	337
	GPR26	Q8NDV2	337
	RRH	O14718	337
	OR1F12P	Q8NHA8	337
	ACKR1	Q16570	336
	GPR82	Q96P67	336
	KCNK1	O00180	336
	GPR119	Q8TDV5	335
	GPR157	Q5UAW9	335
	OR2AK2	Q8NG84	335
	OR9K2	Q8NGE7	335
	OR52B6	Q8NGF0	335
	OR10R2	Q8NGX6	335
	GPR12	P47775	334
	SUCNR1	Q9BXA5	334
	LRRC26	Q2I0M4	334
	XCR1	P46094	333
	NPBWR2	P48146	333
	GPR174	Q9BXC1	333
	TAS2R38	P59533	333
	GPR33	Q49SQ1	333
	GPR146	Q96CH1	333
	ADORA2B	P29275	332
	MC4R	P32245	332
	OR10G6	Q8NH81	332
	KCNK17	Q96T54	332
	GPR18	Q14330	331
	OR6K3	Q8NGY3	331
	OR10S1	Q8NGN2	331
	OR6B3	Q8NGW1	331
	OR6S1	Q8NH40	331
	FFAR2	O15552	330
	GPR3	P46089	330
	GPBAR1	Q8TDU6	330
	MRGPRX2	Q96LB1	330
	OR11H6	Q8NGC7	330
	OR2D3	Q8NGH3	330
	OR1P1	Q8NH06	330
	KCNK15	Q9H427	330
	OR52L1	Q8NGH7	329
	OR5AL1	P0C617	329
	OR10J3	Q5JRS4	329
	GNRHR	P30968	328
	NPBWR1	P48145	328
	P2RY6	Q15077	328
	OR5D16	Q8NGK9	328
	OR13A1	Q8NGR1	328
	OR2AJ1	Q8NGZ0	328
	OR4A16	Q8NH70	328
	OR6A2	O95222	327
	OR9G4	Q8NGQ1	327
	OR51T1	Q8NGJ9	327
	OR52E5	Q8NH55	327
	CACNG4	Q9UBN1	327
	ADORA1	P30542	326
	OR10X1	Q8NGY0	326
	OR51M1	Q9H341	326
	OR11H12	B2RN74	326
	OR5T1	Q8NG75	326
	OR11H1	Q8NG94	326
	OR4C5	Q8NGB2	326
	OR8A1	Q8NGG7	326
	OR11H2	Q8NH07	326
	MAS1	P04201	325
	MC5R	P33032	325
	OR5H6	Q8NGV6	325
	OR1S1	Q8NH92	325
	OR52E2	Q8NGJ4	325
	OR1S2	Q8NGQ3	325
	OR6Y1	Q8NGX8	325
	OR10AC1	Q8NH08	325
	OR14L1	Q8NHC6	325
	OR8U3	Q8NH85	324
	OR2T2	Q6IF00	324
	OR5AS1	Q8N127	324
	OR7G2	Q8NG99	324
	OR11H4	Q8NGC9	324
	OR51D1	Q8NGF3	324
	OR56B1	Q8NGI3	324
	OR5A2	Q8NGI9	324
	OR52I1	Q8NGK6	324
	OR6K2	Q8NGY2	324
	OR4K15	Q8NH41	324
	OR52N5	Q8NH56	324
	OR1L3	Q8NH93	324
	MC3R	P41968	323
	OR1E2	P47887	323
	TAS2R40	P59535	323
	OR5D3	A0A2R8Y4L6	323
	OR4K5	Q8NGD3	323
	OR51S1	Q8NGJ8	323
	OR6T1	Q8NGN1	323
	OR2T35	Q8NGX2	323
	OR2AE1	Q8NHA4	323
	OR52B2	Q96RD2	323
	CALHM2	Q9HA72	323
	CACNG2	Q9Y698	323
	MRGPRX4	Q96LA9	322
	MRGPRX1	Q96LB2	322
	MRGPRX3	Q96LB0	322
	OR1J1	Q8NGS3	322
	OR11L1	Q8NGX0	322
	OR5P2	Q8WZ92	322
	MRGPRD	Q8TDS7	321
	OR3A3	P47888	321
	OR3A2	P47893	321
	OR52N4	Q8NGI2	321
	OR51V1	Q9H2C8	321
	OR5K3	A6NET4	321
	OR5K4	A6NMS3	321
	OR52N2	Q8NGI0	321
	OR51G1	Q8NGK1	321
	OR52P1	Q8NH57	321
	OR14J1	Q9UGF5	321
	OR5V1	Q9UGF6	321
	OR51E2	Q9H255	320
	OR2AT4	A6NND4	320
	OR7C1	O76099	320
	OR10J1	P30954	320
	OR2C3	Q8N628	320
	OR2W5P	A6NFC9	320
	OR12D1	P0DN82	320
	OR52W1	Q6IF63	320
	OR2T33	Q8NG76	320
	OR2T12	Q8NG77	320
	OR5C1	Q8NGR4	320
	OR13C8	Q8NGS7	320
	OR52N1	Q8NH53	320
	OR2W1	Q9Y3N9	320
	GPR31	O00270	319
	GPR171	O14626	319
	GPR55	Q9Y2T6	319
	OR51F1	A6NGY5	319
	OR7C2	O60412	319
	OR2S2	Q9NQN1	319
	OR8U8	P0C7N1	319
	TAS2R30	P59541	319
	OR7A5	Q15622	319
	OR8K1	Q8NGG5	319
	OR52L2P	Q8NGH6	319
	OR10Q1	Q8NGQ4	319
	OR13F1	Q8NGS4	319
	OR56B4	Q8NH76	319
	ADORA3	P0DMS8	318
	OR13C5	Q8NGS8	318
	OR51E1	Q8TCB6	318
	TAS2R7	Q9NYW3	318
	TAS2R60	P59551	318
	OR2A2	Q6IF42	318
	OR56A1	Q8NGH5	318
	OR4D5	Q8NGN0	318
	OR13C4	Q8NGS5	318
	OR13C2	Q8NGS9	318
	OR13C9	Q8NGT0	318
	OR2T34	Q8NGX1	318
	OR2T3	Q8NH03	318
	OR2W6P	Q8NHA6	318
	OR52D1	Q9H346	318
	OR10H1	Q9Y4A9	318
	MC1R	Q01726	317
	TAS2R14	Q9NYV8	317
	OR2F1	Q13607	317
	OR1B1	Q8NGR6	317
	OR51Q1	Q8NH59	317
	OR10A5	Q9H207	317
	OR2F2	O95006	317
	OR2B11	Q5JQS5	317
	OR10AD1	Q8NGE0	317
	OR52M1	Q8NGK5	317
	OR6Q1	Q8NGQ2	317
	OR6P1	Q8NGX9	317
	OR6N2	Q8NGY6	317
	OR2G2	Q8NGZ5	317
	OR2T27	Q8NH04	317
	OR2H1	Q9GZK4	316
	OR2AG1	Q9H205	316
	OR51J1	Q9H342	316
	TAS2R3	Q9NYW6	316
	OR2AG2	A6NM03	316
	OR10H3	O60404	316
	OR2G6	Q5TZ20	316
	OR4N4	Q8N0Y3	316
	OR10H4	Q8NGA5	316
	OR10A7	Q8NGE5	316
	OR5AP2	Q8NGF4	316
	OR56B2	Q8NGI1	316
	OR4C15	Q8NGM1	316
	OR8J1	Q8NGP2	316
	OR1K1	Q8NGR3	316
	OR1N2	Q8NGR9	316
	OR2K2	Q8NGT1	316
	OR2T11	Q8NH01	316
	OR5K2	Q8NHB8	316
	OR52A5	Q9H2C5	316
	OR12D3	Q9UGF7	316
	OR4N4C	A0A096LPK9	316
	OR4E1	P0C645	315
	OR10A4	Q9H209	315
	OR10H2	O60403	315
	OR4A8	P0C604	315
	OR3A1	P47881	315
	OR5M10	Q6IEU7	315
	OR2T5	Q6IEZ7	315
	OR10H5	Q8NGA6	315
	OR52R1	Q8NGF1	315
	OR8J3	Q8NGG0	315
	OR8J2	Q8NGG1	315
	OR5A1	Q8NGJ0	315
	OR51L1	Q8NGJ5	315
	OR5M1	Q8NGP8	315
	OR2I1	Q8NGU4	315
	OR2T29	Q8NH02	315
	OR56A3	Q8NH54	315
	OR4A5	Q8NH83	315
	OR2V1	Q8NHB1	315
	OR2V2	Q96R30	315
	OR4K3	Q96R72	315
	OR11A1	Q9GZK7	315
	CACNG3	O60359	315
	CALHM6	Q5R3K3	315
	OR1E1	P30953	314
	OR5I1	Q13606	314
	OR1Q1	Q15612	314
	TAS2R42	Q7RTR8	314
	OR2W3	Q7Z3T1	314
	OR11H7	Q8NGC8	314
	OR52B4	Q8NGK2	314
	OR8D4	Q8NGM9	314
	OR10T2	Q8NGX3	314
	OR5B3	Q8NH48	314
	OR1R1	A0A286YEU6	314
	OR6C6	A6NF89	314
	OR5F1	O95221	314
	OR4Q2	P0C623	314
	OR5G3	P0C626	314
	OR10A3	P58181	314
	OR1C1	Q15619	314
	OR2Z1	Q8NG97	314
	OR4K2	Q8NGD2	314
	OR4D9	Q8NGE8	314
	OR9Q2	Q8NGE9	314
	OR5B17	Q8NGF7	314
	OR4D6	Q8NGJ1	314
	OR52H1	Q8NGJ2	314
	OR51G2	Q8NGK0	314
	OR52K2	Q8NGK3	314
	OR52K1	Q8NGK4	314
	OR5D14	Q8NGL3	314
	OR5D13	Q8NGL4	314
	OR9I1	Q8NGQ6	314
	OR9A1P	Q8NGU1	314
	OR9A4	Q8NGU2	314
	OR14K1	Q8NGZ2	314
	OR10A6	Q8NH74	314
	OR5B12	Q96R08	314
	OR14A2	Q96R54	314
	OR51I1	Q9H343	314
	CALHM4	Q5JW98	314
	OR10G3	Q8NGC4	313
	OR1G1	P47890	313
	OR2B6	P58173	313
	OR4M1	Q8NGD0	313
	OR10P1	Q8NGE3	313
	OR1J2	Q8NGS2	313
	OR5H15	A6NDH6	313
	OR5H1	A6NKK0	313
	OR2B3	O76000	313
	OR56A5	P0C7T3	313
	OR52E8	Q6IFG1	313
	OR6V1	Q8N148	313
	OR1M1	Q8NGA1	313
