acc	gene	source	pdb_id	resolution	method	path	note
P21918	DRD5	pdb	8IRV	3.10	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P21918.pdb	
P22888	LHCGR	pdb	7FIH	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P22888.pdb	
P23945	FSHR	pdb	4AY9	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/P23945.pdb	
P24530	EDNRB	pdb	6IGK	2.00	X-RAY DIFFRACTION	product/target_screen/structures/raw/P24530.pdb	
P25021	HRH2	pdb	8YN3	2.56	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P25021.pdb	
P25024	CXCR1	pdb	8IC0	3.41	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P25024.pdb	
P25025	CXCR2	pdb	6KVA	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P25025.pdb	
P25090	FPR2	pdb	8ZBW	2.58	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P25090.pdb	converted_from_mmcif
P25101	EDNRA	pdb	8XVK	3.21	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P25101.pdb	converted_from_mmcif
P25103	TACR1	pdb	6HLP	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P25103.pdb	
P25105	PTAFR	pdb	5ZKP	2.81	X-RAY DIFFRACTION	product/target_screen/structures/raw/P25105.pdb	
P25106	ACKR3	pdb	6K3F	2.30	X-RAY DIFFRACTION	product/target_screen/structures/raw/P25106.pdb	
P25116	F2R	pdb	3LU9	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P25116.pdb	
P25929	NPY1R	pdb	5ZBQ	2.70	X-RAY DIFFRACTION	product/target_screen/structures/raw/P25929.pdb	
P28221	HTR1D	pdb	7E32	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P28221.pdb	
P28222	HTR1B	pdb	4IAR	2.70	X-RAY DIFFRACTION	product/target_screen/structures/raw/P28222.pdb	
P28223	HTR2A	pdb	7WC8	2.45	X-RAY DIFFRACTION	product/target_screen/structures/raw/P28223.pdb	
O00144	FZD9	af2			predicted	product/target_screen/structures/raw/O00144.pdb	alphafold_db;AF-O00144-F1-model_v6.pdb
O00155	GPR25	af2			predicted	product/target_screen/structures/raw/O00155.pdb	alphafold_db;AF-O00155-F1-model_v6.pdb
O00254	F2RL2	af2			predicted	product/target_screen/structures/raw/O00254.pdb	alphafold_db;AF-O00254-F1-model_v6.pdb
O00270	GPR31	af2			predicted	product/target_screen/structures/raw/O00270.pdb	alphafold_db;AF-O00270-F1-model_v6.pdb
O00421	CCRL2	af2			predicted	product/target_screen/structures/raw/O00421.pdb	alphafold_db;AF-O00421-F1-model_v6.pdb
O00574	CXCR6	af2			predicted	product/target_screen/structures/raw/O00574.pdb	alphafold_db;AF-O00574-F1-model_v6.pdb
O14514	ADGRB1	af2			predicted	product/target_screen/structures/raw/O14514.pdb	alphafold_db;AF-O14514-F1-model_v6.pdb
O14626	GPR171	af2			predicted	product/target_screen/structures/raw/O14626.pdb	alphafold_db;AF-O14626-F1-model_v6.pdb
O14804	TAAR5	af2			predicted	product/target_screen/structures/raw/O14804.pdb	alphafold_db;AF-O14804-F1-model_v6.pdb
O15354	GPR37	af2			predicted	product/target_screen/structures/raw/O15354.pdb	alphafold_db;AF-O15354-F1-model_v6.pdb
O15529	GPR42	af2			predicted	product/target_screen/structures/raw/O15529.pdb	alphafold_db;AF-O15529-F1-model_v6.pdb
O43194	GPR39	af2			predicted	product/target_screen/structures/raw/O43194.pdb	alphafold_db;AF-O43194-F1-model_v6.pdb
O43749	OR1F1	af2			predicted	product/target_screen/structures/raw/O43749.pdb	alphafold_db;AF-O43749-F1-model_v6.pdb
O60755	GALR3	af2			predicted	product/target_screen/structures/raw/O60755.pdb	alphafold_db;AF-O60755-F1-model_v6.pdb
O60883	GPR37L1	af2			predicted	product/target_screen/structures/raw/O60883.pdb	alphafold_db;AF-O60883-F1-model_v6.pdb
O94910	ADGRL1	af2			predicted	product/target_screen/structures/raw/O94910.pdb	alphafold_db;AF-O94910-F1-model_v6.pdb
O95047	OR2A4	af2			predicted	product/target_screen/structures/raw/O95047.pdb	alphafold_db;AF-O95047-F1-model_v6.pdb
P25089	FPR3	af2			predicted	product/target_screen/structures/raw/P25089.pdb	alphafold_db;AF-P25089-F1-model_v6.pdb
P25100	ADRA1D	af2			predicted	product/target_screen/structures/raw/P25100.pdb	alphafold_db;AF-P25100-F1-model_v6.pdb
P28335	HTR2C	pdb	9UGL	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P28335.pdb	converted_from_mmcif
P28336	NMBR	pdb	8H0P	3.15	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P28336.pdb	
P28566	HTR1E	pdb	7E33	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P28566.pdb	
P29274	ADORA2A	pdb	5IU4	1.72	X-RAY DIFFRACTION	product/target_screen/structures/raw/P29274.pdb	
P29275	ADORA2B	pdb	8HDO	2.87	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P29275.pdb	
P29371	TACR3	pdb	8JBG	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P29371.pdb	converted_from_mmcif
P30411	BDKRB2	pdb	7F6I	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P30411.pdb	
P30518	AVPR2	pdb	7DFC	2.49	X-RAY DIFFRACTION	product/target_screen/structures/raw/P30518.pdb	
P30542	ADORA1	pdb	5UEN	3.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P30542.pdb	
P30550	GRPR	pdb	7W41	2.95	X-RAY DIFFRACTION	product/target_screen/structures/raw/P30550.pdb	
P30556	AGTR1	pdb	6OS2	2.70	X-RAY DIFFRACTION	product/target_screen/structures/raw/P30556.pdb	
P30559	OXTR	pdb	7RYC	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P30559.pdb	
P30872	SSTR1	pdb	8XIO	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P30872.pdb	converted_from_mmcif
P30874	SSTR2	pdb	7T10	2.50	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P30874.pdb	
P30939	HTR1F	pdb	21AG	3.13	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P30939.pdb	converted_from_mmcif
P30968	GNRHR	pdb	7BR3	2.79	X-RAY DIFFRACTION	product/target_screen/structures/raw/P30968.pdb	
P30988	CALCR	pdb	6PFO	1.78	X-RAY DIFFRACTION	product/target_screen/structures/raw/P30988.pdb	
P30989	NTSR1	pdb	9P7Z	2.10	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P30989.pdb	
P31391	SSTR4	pdb	7XMT	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P31391.pdb	
P32238	CCKAR	pdb	7MBX	1.95	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32238.pdb	
P32239	CCKBR	pdb	7F8W	3.10	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32239.pdb	
P32241	VIPR1	pdb	5IB2	1.44	X-RAY DIFFRACTION	product/target_screen/structures/raw/P32241.pdb	
P32245	MC4R	pdb	7PIU	2.58	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32245.pdb	
P32246	CCR1	pdb	7VL9	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32246.pdb	
P32247	BRS3	pdb	9K07	2.83	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32247.pdb	converted_from_mmcif
P32248	CCR7	pdb	6QZH	2.10	X-RAY DIFFRACTION	product/target_screen/structures/raw/P32248.pdb	
P32249	GPR183	pdb	7TUY	2.98	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32249.pdb	
P32302	CXCR5	af2			predicted	product/target_screen/structures/raw/P32302.pdb	alphafold_db;AF-P32302-F1-model_v6.pdb
P32745	SSTR3	pdb	8XIR	2.52	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P32745.pdb	converted_from_mmcif
P33032	MC5R	pdb	8IOD	2.59	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P33032.pdb	
P34969	HTR7	pdb	7XTC	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P34969.pdb	
P34972	CNR2	pdb	12IZ	2.72	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P34972.pdb	converted_from_mmcif
P34981	TRHR	pdb	7XW9	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P34981.pdb	
P34982	OR1D2	af2			predicted	product/target_screen/structures/raw/P34982.pdb	alphafold_db;AF-P34982-F1-model_v6.pdb
P34995	PTGER1	pdb	9M1H	2.55	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P34995.pdb	
P34998	CRHR1	pdb	3EHU	1.96	X-RAY DIFFRACTION	product/target_screen/structures/raw/P34998.pdb	
P35346	SSTR5	pdb	9W32	2.59	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P35346.pdb	converted_from_mmcif
P35348	ADRA1A	pdb	8THK	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P35348.pdb	
P35367	HRH1	pdb	8YN2	2.66	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P35367.pdb	
P35368	ADRA1B	af2			predicted	product/target_screen/structures/raw/P35368.pdb	alphafold_db;AF-P35368-F1-model_v6.pdb
P35372	OPRM1	pdb	8Y72	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P35372.pdb	
P35408	PTGER4	pdb	9JQZ	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P35408.pdb	converted_from_mmcif
P35414	APLNR	pdb	8S4D	2.58	X-RAY DIFFRACTION	product/target_screen/structures/raw/P35414.pdb	converted_from_mmcif
P35462	DRD3	pdb	7CMV	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P35462.pdb	
P37288	AVPR1A	pdb	1YTV	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P37288.pdb	
P41143	OPRD1	pdb	4N6H	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41143.pdb	
P41145	OPRK1	pdb	7UL2	2.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P41145.pdb	
P41146	OPRL1	pdb	23OI	2.74	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P41146.pdb	converted_from_mmcif
P41180	CASR	pdb	5FBK	2.10	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41180.pdb	
P41231	P2RY2	pdb	9K20	2.65	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P41231.pdb	
P41586	ADCYAP1R1	pdb	3N94	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41586.pdb	
P41587	VIPR2	pdb	2X57	2.10	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41587.pdb	
P41594	GRM5	pdb	6FFI	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41594.pdb	
P41595	HTR2B	pdb	4IB4	2.70	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41595.pdb	
P41597	CCR2	pdb	7P8X	1.40	X-RAY DIFFRACTION	product/target_screen/structures/raw/P41597.pdb	
P41968	MC3R	pdb	9K3F	2.75	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P41968.pdb	
P43088	PTGFR	pdb	8XJK	2.63	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P43088.pdb	converted_from_mmcif
P43115	PTGER3	pdb	6M9T	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/P43115.pdb	
P43119	PTGIR	pdb	8X79	2.41	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P43119.pdb	
P43220	GLP1R	pdb	4ZGM	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P43220.pdb	
P43657	LPAR6	pdb	9ITB	2.89	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P43657.pdb	
P46089	GPR3	pdb	8WW2	2.79	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P46089.pdb	
P46091	CMKLR2	pdb	8JJP	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P46091.pdb	
P46092	CCR10	af2			predicted	product/target_screen/structures/raw/P46092.pdb	alphafold_db;AF-P46092-F1-model_v6.pdb
P46093	GPR4	pdb	9JCO	2.36	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P46093.pdb	converted_from_mmcif
P46094	XCR1	pdb	9AST	3.07	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P46094.pdb	
P46095	GPR6	pdb	8TF5	2.10	X-RAY DIFFRACTION	product/target_screen/structures/raw/P46095.pdb	
P46663	BDKRB1	pdb	7EIB	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P46663.pdb	
P47211	GALR1	pdb	7WQ3	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P47211.pdb	
P47775	GPR12	pdb	7Y3G	2.77	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P47775.pdb	
P47804	RGR	af2			predicted	product/target_screen/structures/raw/P47804.pdb	alphafold_db;AF-P47804-F1-model_v6.pdb
P47871	GCGR	pdb	3CZF	1.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P47871.pdb	
P47872	SCTR	pdb	6WZG	2.30	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P47872.pdb	
P47898	HTR5A	pdb	7UM5	2.73	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P47898.pdb	
P47900	P2RY1	pdb	4XNV	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P47900.pdb	
P47901	AVPR1B	af2			predicted	product/target_screen/structures/raw/P47901.pdb	alphafold_db;AF-P47901-F1-model_v6.pdb
P48039	MTNR1A	pdb	6ME2	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P48039.pdb	
P48145	NPBWR1	af2			predicted	product/target_screen/structures/raw/P48145.pdb	alphafold_db;AF-P48145-F1-model_v6.pdb
P48146	NPBWR2	af2			predicted	product/target_screen/structures/raw/P48146.pdb	alphafold_db;AF-P48146-F1-model_v6.pdb
P48546	GIPR	pdb	2QKH	1.90	X-RAY DIFFRACTION	product/target_screen/structures/raw/P48546.pdb	
P48960	ADGRE5	pdb	8IKL	2.33	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P48960.pdb	
P49019	HCAR3	pdb	8JEI	2.73	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P49019.pdb	
P49146	NPY2R	pdb	7DDZ	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P49146.pdb	
P49190	PTH2R	pdb	7F16	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P49190.pdb	
P49238	CX3CR1	pdb	7XBW	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P49238.pdb	
P49286	MTNR1B	pdb	6ME6	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P49286.pdb	
P49682	CXCR3	pdb	8HNM	2.94	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P49682.pdb	
P49683	PRLHR	pdb	9V0X	2.66	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P49683.pdb	
P49685	GPR15	pdb	8ZQE	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P49685.pdb	
P50052	AGTR2	pdb	5UNF	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P50052.pdb	
P50391	NPY4R	pdb	7X9C	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P50391.pdb	
P50406	HTR6	pdb	7YS6	3.00	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P50406.pdb	
P51582	P2RY4	pdb	9K0K	3.14	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P51582.pdb	
P51677	CCR3	pdb	7X9Y	3.10	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P51677.pdb	
P51679	CCR4	pdb	9ULL	1.63	X-RAY DIFFRACTION	product/target_screen/structures/raw/P51679.pdb	
P51681	CCR5	pdb	5YD3	1.35	X-RAY DIFFRACTION	product/target_screen/structures/raw/P51681.pdb	
P51684	CCR6	pdb	6WWZ	3.34	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P51684.pdb	
P51685	CCR8	pdb	8XML	2.58	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P51685.pdb	
P51686	CCR9	pdb	5LWE	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P51686.pdb	
P51810	GPR143	af2			predicted	product/target_screen/structures/raw/P51810.pdb	alphafold_db;AF-P51810-F1-model_v6.pdb
P55085	F2RL1	pdb	5NDD	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P55085.pdb	
P59542	TAS2R19	af2			predicted	product/target_screen/structures/raw/P59542.pdb	alphafold_db;AF-P59542-F1-model_v6.pdb
P61073	CXCR4	pdb	3ODU	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/P61073.pdb	
Q01718	MC2R	pdb	9K3L	3.01	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q01718.pdb	
Q01726	MC1R	pdb	7F4H	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q01726.pdb	
Q02643	GHRHR	pdb	2XDG	1.95	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q02643.pdb	
Q03431	PTH1R	pdb	5EMB	0.85	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q03431.pdb	
Q13255	GRM1	pdb	3KS9	1.90	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q13255.pdb	
Q13258	PTGDR	pdb	8ZVZ	2.35	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q13258.pdb	converted_from_mmcif
Q13324	CRHR2	pdb	3N93	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q13324.pdb	
Q13467	FZD5	pdb	6O39	1.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q13467.pdb	
Q13585	GPR50	pdb	9L9O	2.98	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q13585.pdb	
Q13639	HTR4	pdb	7XT8	3.10	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q13639.pdb	
Q14246	ADGRE1	af2			predicted	product/target_screen/structures/raw/Q14246.pdb	alphafold_db;AF-Q14246-F1-model_v6.pdb
Q14332	FZD2	pdb	7X8P	2.24	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q14332.pdb	
Q14416	GRM2	pdb	4XAQ	2.21	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q14416.pdb	
Q14831	GRM7	pdb	5C5C	1.86	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q14831.pdb	
Q14832	GRM3	pdb	3SM9	2.26	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q14832.pdb	
Q14833	GRM4	pdb	8JD4	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q14833.pdb	
Q15077	P2RY6	af2			predicted	product/target_screen/structures/raw/Q15077.pdb	alphafold_db;AF-Q15077-F1-model_v6.pdb
Q15617	OR8G1	af2			predicted	product/target_screen/structures/raw/Q15617.pdb	alphafold_db;AF-Q15617-F1-model_v6.pdb
Q15722	LTB4R	pdb	7K15	2.88	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q15722.pdb	
Q15743	GPR68	pdb	8Z68	2.64	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q15743.pdb	
Q15761	NPY5R	af2			predicted	product/target_screen/structures/raw/Q15761.pdb	alphafold_db;AF-Q15761-F1-model_v6.pdb
Q16570	ACKR1	pdb	7P93	1.55	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q16570.pdb	
Q16581	C3AR1	pdb	9IPV	2.53	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q16581.pdb	converted_from_mmcif
Q16602	CALCRL	pdb	6ZHO	1.60	X-RAY DIFFRACTION	product/target_screen/structures/raw/Q16602.pdb	
Q5NUL3	FFAR4	pdb	8G59	2.64	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q5NUL3.pdb	
Q5T601	ADGRF1	pdb	7WY0	2.83	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q5T601.pdb	
Q5T6X5	GPRC6A	af2			predicted	product/target_screen/structures/raw/Q5T6X5.pdb	alphafold_db;AF-Q5T6X5-F1-model_v6.pdb
Q5T848	GPR158	pdb	7SHE	3.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q5T848.pdb	
Q6PRD1	GPR179	pdb	8IRJ	3.49	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q6PRD1.pdb	
Q6QNK2	ADGRD1	pdb	8X9T	2.75	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q6QNK2.pdb	
Q6U736	OPN5	af2			predicted	product/target_screen/structures/raw/Q6U736.pdb	alphafold_db;AF-Q6U736-F1-model_v6.pdb
Q6W5P4	NPSR1	af2			predicted	product/target_screen/structures/raw/Q6W5P4.pdb	alphafold_db;AF-Q6W5P4-F1-model_v6.pdb
Q7RTX0	TAS1R3	pdb	9NOU	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q7RTX0.pdb	
Q7RTX1	TAS1R1	af2			predicted	product/target_screen/structures/raw/Q7RTX1.pdb	alphafold_db;AF-Q7RTX1-F1-model_v6.pdb
Q7Z602	GPR141	af2			predicted	product/target_screen/structures/raw/Q7Z602.pdb	alphafold_db;AF-Q7Z602-F1-model_v6.pdb
Q86SM8	MRGPRE	af2			predicted	product/target_screen/structures/raw/Q86SM8.pdb	alphafold_db;AF-Q86SM8-F1-model_v6.pdb
Q86SQ3	ADGRE4P	af2			predicted	product/target_screen/structures/raw/Q86SQ3.pdb	alphafold_db;AF-Q86SQ3-F1-model_v6.pdb
Q86SQ4	ADGRG6	pdb	21DU	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/Q86SQ4.pdb	
Q86SQ6	ADGRA1	af2			predicted	product/target_screen/structures/raw/Q86SQ6.pdb	alphafold_db;AF-Q86SQ6-F1-model_v6.pdb
