acc	gene	source	pdb_id	resolution	method	path	note
P21397	MAOA	pdb	2Z5Y	2.17	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P21397.pdb	
P21728	DRD1	pdb	9I54	2.72	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P21728.pdb	converted_from_mmcif
P21917	DRD4	pdb	5WIU	1.96	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P21917.pdb	
P21918	DRD5	pdb	8IRV	3.10	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P21918.pdb	
P22303	ACHE	pdb	4M0E	2.00	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P22303.pdb	
P22694	PRKACB	af2			predicted	product/chembl_branch/structures/raw/P22694.pdb	alphafold_db;AF-P22694-F1-model_v6.pdb
P22748	CA4	pdb	3FW3	1.72	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P22748.pdb	
P23443	RPS6KB1	pdb	5WBH	1.75	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P23443.pdb	
P23975	SLC6A2	pdb	8HFE	2.50	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P23975.pdb	
P24557	TBXAS1	af2			predicted	product/chembl_branch/structures/raw/P24557.pdb	alphafold_db;AF-P24557-F1-model_v6.pdb
P25021	HRH2	pdb	8YN3	2.56	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P25021.pdb	
P25100	ADRA1D	af2			predicted	product/chembl_branch/structures/raw/P25100.pdb	alphafold_db;AF-P25100-F1-model_v6.pdb
P25929	NPY1R	pdb	5ZBQ	2.70	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P25929.pdb	
P25963	NFKBIA	pdb	6Y1J	1.13	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P25963.pdb	
P27338	MAOB	pdb	1S3E	1.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P27338.pdb	
P27695	APEX1	pdb	4QHE	1.40	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P27695.pdb	
P28074	PSMB5	pdb	5LE5	1.80	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P28074.pdb	
P28223	HTR2A	pdb	7WC8	2.45	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P28223.pdb	
P28335	HTR2C	pdb	9UGL	2.65	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P28335.pdb	converted_from_mmcif
P31645	SLC6A4	pdb	5I6X	3.14	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P31645.pdb	
P31751	AKT2	pdb	1O6L	1.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P31751.pdb	
P33261	CYP2C19	pdb	4GQS	2.87	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P33261.pdb	
P33527	ABCC1	pdb	2CBZ	1.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P33527.pdb	
P34969	HTR7	pdb	7XTC	3.20	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P34969.pdb	
P35348	ADRA1A	pdb	8THK	2.60	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P35348.pdb	
P35367	HRH1	pdb	8YN2	2.66	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P35367.pdb	
P35372	OPRM1	pdb	8Y72	2.65	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P35372.pdb	
P35462	DRD3	pdb	7CMV	2.70	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P35462.pdb	
P36888	FLT3	pdb	1RJB	2.10	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P36888.pdb	
P37088	SCNN1A	pdb	6WTH	3.06	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P37088.pdb	
P40225	THPO	pdb	1V7M	2.51	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P40225.pdb	
P41145	OPRK1	pdb	7UL2	2.40	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P41145.pdb	
P41146	OPRL1	pdb	23OI	2.74	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P41146.pdb	converted_from_mmcif
P41595	HTR2B	pdb	4IB4	2.70	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P41595.pdb	
P42345	MTOR	pdb	4DRI	1.45	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P42345.pdb	
P42858	HTT	pdb	4RAV	2.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P42858.pdb	
P43166	CA7	pdb	8Q3U	1.10	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P43166.pdb	
P43235	CTSK	pdb	1TU6	1.75	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P43235.pdb	
P47989	XDH	pdb	2E1Q	2.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P47989.pdb	
P49721	PSMB2	pdb	5LE5	1.80	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P49721.pdb	
P51589	CYP2J2	af2			predicted	product/chembl_branch/structures/raw/P51589.pdb	alphafold_db;AF-P51589-F1-model_v6.pdb
P62937	PPIA	pdb	1AWQ	1.58	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P62937.pdb	
P62942	FKBP1A	pdb	1BKF	1.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P62942.pdb	
P67870	CSNK2B	pdb	1QF8	1.74	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P67870.pdb	
P68106	FKBP1B	pdb	5HKG	1.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P68106.pdb	
Q01959	SLC6A3	pdb	9EO4	2.66	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/Q01959.pdb	
Q06124	PTPN11	pdb	3ZM1	1.40	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q06124.pdb	
Q06187	BTK	pdb	4OT5	1.55	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q06187.pdb	
Q08828	ADCY1	af2			predicted	product/chembl_branch/structures/raw/Q08828.pdb	alphafold_db;AF-Q08828-F1-model_v6.pdb
Q12809	KCNH2	pdb	4HQA	1.96	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q12809.pdb	
Q13451	FKBP5	pdb	3O5Q	0.96	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q13451.pdb	
Q13936	CACNA1C	pdb	2F3Y	1.45	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q13936.pdb	
Q14330	GPR18	af2			predicted	product/chembl_branch/structures/raw/Q14330.pdb	alphafold_db;AF-Q14330-F1-model_v6.pdb
Q14994	NR1I3	pdb	1XVP	2.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q14994.pdb	
Q15125	EBP	pdb	8W0R	2.80	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/Q15125.pdb	converted_from_mmcif
Q15746	MYLK	pdb	9MXD	1.17	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q15746.pdb	
Q16637	SMN1	pdb	7W2P	1.15	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q16637.pdb	
Q16678	CYP1B1	pdb	3PM0	2.70	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q16678.pdb	
Q16790	CA9	pdb	6RQQ	1.28	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q16790.pdb	
Q16850	CYP51A1	pdb	6UEZ	1.98	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q16850.pdb	
Q53EL6	PDCD4	pdb	9TES	1.22	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q53EL6.pdb	
Q86VL8	SLC47A2	af2			predicted	product/chembl_branch/structures/raw/Q86VL8.pdb	alphafold_db;AF-Q86VL8-F1-model_v6.pdb
Q8TCT1	PHOSPHO1	af2			predicted	product/chembl_branch/structures/raw/Q8TCT1.pdb	alphafold_db;AF-Q8TCT1-F1-model_v6.pdb
Q92731	ESR2	pdb	3OLL	1.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q92731.pdb	
Q96FL8	SLC47A1	pdb	9R1F	2.31	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/Q96FL8.pdb	
Q99714	HSD17B10	pdb	2O23	1.20	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q99714.pdb	
Q99720	SIGMAR1	pdb	5HK1	2.51	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q99720.pdb	
Q99808	SLC29A1	pdb	6OB7	2.30	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q99808.pdb	
Q9BY08	EBPL	af2			predicted	product/chembl_branch/structures/raw/Q9BY08.pdb	alphafold_db;AF-Q9BY08-F1-model_v6.pdb
Q9GZQ8	MAP1LC3B	pdb	6LAN	1.41	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q9GZQ8.pdb	
Q9NUW8	TDP1	pdb	6DHU	1.63	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q9NUW8.pdb	
Q9UBN7	HDAC6	pdb	5B8D	1.05	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q9UBN7.pdb	
Q9UL62	TRPC5	pdb	9RRF	2.30	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/Q9UL62.pdb	
Q9UNQ0	ABCG2	pdb	8PXO	3.00	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/Q9UNQ0.pdb	
Q9Y243	AKT3	pdb	8ZXW	1.33	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q9Y243.pdb	
Q9Y468	L3MBTL1	pdb	1OZ2	1.55	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/Q9Y468.pdb	
