acc	status	note
P08173_8E9X	failed	no_valid_pocket
P08173_8FX5	failed	no_valid_pocket
P08173_8IY9	failed	no_valid_pocket
P08173_8IYH	failed	no_valid_pocket
P08173_8IYW	failed	no_valid_pocket
P08173_8JER	failed	no_valid_pocket
P08173_8JHN	failed	no_valid_pocket
P08173_9IQS	failed	no_valid_pocket
P08173_9KUG	failed	no_valid_pocket
P08173_9KUT	failed	no_valid_pocket
P08173_9KV6	failed	no_valid_pocket
P08173_9KV8	failed	no_valid_pocket
P08173_9KVP	failed	no_valid_pocket
P08173_af2	failed	no_valid_pocket
P08913_1HLL	failed	no_valid_pocket
P08913_1HO9	failed	no_valid_pocket
P08913_1HOD	failed	no_valid_pocket
P08913_1HOF	failed	no_valid_pocket
P08913_6K42	failed	no_valid_pocket
P08913_6KUX	failed	no_valid_pocket
P08913_6KUY	failed	no_valid_pocket
P08913_7EJ0	failed	no_valid_pocket
P08913_7EJ8	failed	no_valid_pocket
P08913_7EJA	failed	no_valid_pocket
P08913_7EJK	failed	no_valid_pocket
P08913_7W6P	failed	no_valid_pocket
P08913_7W7E	failed	no_valid_pocket
P08913_9CBL	failed	no_valid_pocket
P08913_9CBM	failed	no_valid_pocket
P08913_9IQR	failed	no_valid_pocket
P08913_9PLN	failed	no_valid_pocket
P08913_9PLO	failed	no_valid_pocket
P08913_9PQD	failed	no_valid_pocket
P08913_af2	failed	no_valid_pocket
P0DMS8_8X16	failed	no_valid_pocket
P0DMS8_8X17	failed	no_valid_pocket
P0DMS8_9EBH	failed	no_valid_pocket
P0DMS8_9EBI	failed	no_valid_pocket
P0DMS8_9EHS	failed	no_valid_pocket
P0DMS8_af2	failed	no_valid_pocket
P11229_5CXV	failed	no_valid_pocket
P11229_6OIJ	failed	no_valid_pocket
P11229_6WJC	failed	no_valid_pocket
P11229_6ZFZ	failed	no_valid_pocket
P11229_6ZG4	failed	no_valid_pocket
P11229_6ZG9	failed	no_valid_pocket
P11229_9JEA	failed	no_valid_pocket
P11229_af2	failed	no_valid_pocket
P14416_5AER	failed	no_valid_pocket
P14416_6CM4	failed	no_valid_pocket
P14416_6LUQ	failed	no_valid_pocket
P14416_6VMS	failed	no_valid_pocket
P14416_7DFP	failed	no_valid_pocket
P14416_7JVR	failed	no_valid_pocket
P14416_8IRS	failed	no_valid_pocket
P14416_8TZQ	failed	no_valid_pocket
P14416_8U02	failed	no_valid_pocket
P14416_9BS9	failed	no_valid_pocket
P14416_9BSB	failed	no_valid_pocket
P14416_af2	failed	no_valid_pocket
P16473_2XWT	failed	no_valid_pocket
P16473_3G04	failed	no_valid_pocket
P16473_7T9I	failed	no_valid_pocket
P16473_7T9M	failed	no_valid_pocket
P16473_7T9N	failed	no_valid_pocket
P16473_7UTZ	failed	no_valid_pocket
P16473_7XW5	failed	no_valid_pocket
P16473_7XW6	failed	no_valid_pocket
P16473_7XW7	failed	no_valid_pocket
P16473_af2	failed	no_valid_pocket
P18089_6K41	failed	no_valid_pocket
P18089_6K42	failed	no_valid_pocket
P18089_af2	failed	no_valid_pocket
P18825_6KUW	failed	no_valid_pocket
P18825_af2	failed	no_valid_pocket
P20309_2CSA	failed	no_valid_pocket
P20309_8E9W	failed	no_valid_pocket
P20309_8E9Y	failed	no_valid_pocket
P20309_8E9Z	failed	no_valid_pocket
P20309_8EA0	failed	no_valid_pocket
P20309_af2	failed	no_valid_pocket
P21728_7CKW	failed	no_valid_pocket
P21728_7CKX	failed	no_valid_pocket
P21728_7CKY	failed	no_valid_pocket
P21728_7CKZ	failed	no_valid_pocket
P21728_7CRH	failed	no_valid_pocket
P21728_7F0T	failed	no_valid_pocket
P21728_7F1O	failed	no_valid_pocket
P21728_7F1Z	failed	no_valid_pocket
P21728_7F23	failed	no_valid_pocket
P21728_7F24	failed	no_valid_pocket
P21728_7JOZ	failed	no_valid_pocket
P21728_7JV5	failed	no_valid_pocket
P21728_7JVP	failed	no_valid_pocket
P21728_7JVQ	failed	no_valid_pocket
P21728_7LJC	failed	no_valid_pocket
P21728_7LJD	failed	no_valid_pocket
P21728_7X2C	failed	no_valid_pocket
P21728_7X2D	failed	no_valid_pocket
P21728_7X2F	failed	no_valid_pocket
P21728_8IRR	failed	no_valid_pocket
P21728_8JXR	failed	no_valid_pocket
P21728_8JXS	failed	no_valid_pocket
P21728_9I52	failed	no_valid_pocket
P21728_9I54	failed	no_valid_pocket
P21728_9LLE	failed	no_valid_pocket
P21728_af2	failed	no_valid_pocket
P21917_5WIU	failed	no_valid_pocket
P21917_5WIV	failed	no_valid_pocket
P21917_af2	failed	no_valid_pocket
P21918_8IRV	failed	no_valid_pocket
P21918_af2	failed	no_valid_pocket
P25021_7UL3	failed	no_valid_pocket
P25021_8POK	failed	no_valid_pocket
P25021_8YN3	failed	no_valid_pocket
P25021_8YN4	failed	no_valid_pocket
P25021_8YUT	failed	no_valid_pocket
P25021_9IXJ	failed	no_valid_pocket
P25021_af2	failed	no_valid_pocket
P25100_af2	failed	no_valid_pocket
P25929_5ZBH	failed	no_valid_pocket
P25929_5ZBQ	failed	no_valid_pocket
P25929_7VGX	failed	no_valid_pocket
P25929_7X9A	failed	no_valid_pocket
P25929_8K6M	failed	no_valid_pocket
P25929_8K6O	failed	no_valid_pocket
P25929_af2	failed	no_valid_pocket
P28223_6A93	failed	no_valid_pocket
P28223_6A94	failed	no_valid_pocket
P28223_6WGT	failed	no_valid_pocket
P28223_6WH4	failed	no_valid_pocket
P28223_6WHA	failed	no_valid_pocket
P28223_7RAN	failed	no_valid_pocket
P28223_7VOD	failed	no_valid_pocket
P28223_7VOE	failed	no_valid_pocket
P28223_7WC4	failed	no_valid_pocket
P28223_7WC5	failed	no_valid_pocket
P28223_7WC6	failed	no_valid_pocket
P28223_7WC7	failed	no_valid_pocket
P28223_7WC8	failed	no_valid_pocket
P28223_7WC9	failed	no_valid_pocket
P28223_8JT8	failed	no_valid_pocket
P28223_8UWL	failed	no_valid_pocket
P28223_8V6U	failed	no_valid_pocket
P28223_8ZMG	failed	no_valid_pocket
P28223_9ARX	failed	no_valid_pocket
P28223_9ARY	failed	no_valid_pocket
P28223_9ARZ	failed	no_valid_pocket
P28223_9AS0	failed	no_valid_pocket
P28223_9AS1	failed	no_valid_pocket
P28223_9AS2	failed	no_valid_pocket
P28223_9AS3	failed	no_valid_pocket
P28223_af2	failed	no_valid_pocket
P28335_6BQG	failed	no_valid_pocket
P28335_6BQH	failed	no_valid_pocket
P28335_8DPF	failed	no_valid_pocket
P28335_8DPG	failed	no_valid_pocket
P28335_8DPH	failed	no_valid_pocket
P28335_8DPI	failed	no_valid_pocket
P28335_8ZMF	failed	no_valid_pocket
P28335_9UGL	failed	no_valid_pocket
P28335_af2	failed	no_valid_pocket
P34969_7XTC	failed	no_valid_pocket
P34969_af2	failed	no_valid_pocket
P35348_7YM8	failed	no_valid_pocket
P35348_7YMH	failed	no_valid_pocket
P35348_7YMJ	failed	no_valid_pocket
P35348_8HN1	failed	no_valid_pocket
P35348_8THK	failed	no_valid_pocket
P35348_8THL	failed	no_valid_pocket
P35348_9IQV	failed	no_valid_pocket
P35348_9M4Q	failed	no_valid_pocket
P35348_9M4T	failed	no_valid_pocket
P35348_af2	failed	no_valid_pocket
P35367_3RZE	failed	no_valid_pocket
P35367_7DFL	failed	no_valid_pocket
P35367_8X5X	failed	no_valid_pocket
P35367_8X5Y	failed	no_valid_pocket
P35367_8X63	failed	no_valid_pocket
P35367_8X64	failed	no_valid_pocket
P35367_8YN2	failed	no_valid_pocket
P35367_9LRB	failed	no_valid_pocket
P35367_9LRD	failed	no_valid_pocket
P35367_af2	failed	no_valid_pocket
P35372_10TL	failed	no_valid_pocket
P35372_10TM	failed	no_valid_pocket
P35372_23SO	failed	no_valid_pocket
P35372_8EF5	failed	no_valid_pocket
P35372_8EF6	failed	no_valid_pocket
P35372_8EFB	failed	no_valid_pocket
P35372_8EFL	failed	no_valid_pocket
P35372_8EFO	failed	no_valid_pocket
P35372_8EFQ	failed	no_valid_pocket
P35372_8F7Q	failed	no_valid_pocket
P35372_8F7R	failed	no_valid_pocket
P35372_8K9K	failed	no_valid_pocket
P35372_8K9L	failed	no_valid_pocket
P35372_8Y72	failed	no_valid_pocket
P35372_8Y73	failed	no_valid_pocket
P35372_9MQH	failed	no_valid_pocket
P35372_9MQI	failed	no_valid_pocket
P35372_9MQJ	failed	no_valid_pocket
P35372_9PA2	failed	no_valid_pocket
P35372_9PA3	failed	no_valid_pocket
P35372_9PA5	failed	no_valid_pocket
P35372_9PPQ	failed	no_valid_pocket
P35372_9PU5	failed	no_valid_pocket
P35372_9PUD	failed	no_valid_pocket
P35372_9PXU	failed	no_valid_pocket
P35372_af2	failed	no_valid_pocket
P35462_31BG	failed	no_valid_pocket
P35462_3PBL	failed	no_valid_pocket
P35462_7CMU	failed	no_valid_pocket
P35462_7CMV	failed	no_valid_pocket
P35462_8IRT	failed	no_valid_pocket
P35462_9F33	failed	no_valid_pocket
P35462_9F34	failed	no_valid_pocket
P35462_9R42	failed	no_valid_pocket
P35462_af2	failed	no_valid_pocket
P37088_2M3O	failed	no_valid_pocket
P37088_6BQN	failed	no_valid_pocket
P37088_6WTH	failed	no_valid_pocket
P37088_af2	failed	no_valid_pocket
P41145_22EM	failed	no_valid_pocket
P41145_22ES	failed	no_valid_pocket
P41145_4DJH	failed	no_valid_pocket
P41145_6B73	failed	no_valid_pocket
P41145_6VI4	failed	no_valid_pocket
P41145_7T10	failed	no_valid_pocket
P41145_7T11	failed	no_valid_pocket
P41145_7UL2	failed	no_valid_pocket
P41145_7UL3	failed	no_valid_pocket
P41145_7UL5	failed	no_valid_pocket
P41145_7Y1F	failed	no_valid_pocket
P41145_7YIT	failed	no_valid_pocket
P41145_7YMJ	failed	no_valid_pocket
P41145_8DZP	failed	no_valid_pocket
P41145_8DZQ	failed	no_valid_pocket
P41145_8DZR	failed	no_valid_pocket
P41145_8DZS	failed	no_valid_pocket
P41145_8F7W	failed	no_valid_pocket
P41145_8FEG	failed	no_valid_pocket
P41145_8HNN	failed	no_valid_pocket
P41145_8K2W	failed	no_valid_pocket
P41145_8VVE	failed	no_valid_pocket
P41145_8VVF	failed	no_valid_pocket
P41145_8VVG	failed	no_valid_pocket
P41145_9D61	failed	no_valid_pocket
P41145_af2	failed	no_valid_pocket
P41146_23OI	failed	no_valid_pocket
P41146_4EA3	failed	no_valid_pocket
P41146_5DHG	failed	no_valid_pocket
P41146_5DHH	failed	no_valid_pocket
P41146_8F7X	failed	no_valid_pocket
P41146_af2	failed	no_valid_pocket
P41595_4IB4	failed	no_valid_pocket
P41595_4NC3	failed	no_valid_pocket
P41595_5TUD	failed	no_valid_pocket
P41595_5TVN	failed	no_valid_pocket
P41595_6DRX	failed	no_valid_pocket
P41595_6DRY	failed	no_valid_pocket
P41595_6DRZ	failed	no_valid_pocket
P41595_6DS0	failed	no_valid_pocket
P41595_7SRQ	failed	no_valid_pocket
P41595_7SRR	failed	no_valid_pocket
P41595_7SRS	failed	no_valid_pocket
P41595_9JGK	failed	no_valid_pocket
P41595_af2	failed	no_valid_pocket
Q12809_1BYW	failed	no_valid_pocket
Q12809_1UJL	failed	no_valid_pocket
Q12809_2L0W	failed	no_valid_pocket
Q12809_2L1M	failed	no_valid_pocket
Q12809_2L4R	failed	no_valid_pocket
Q12809_2LE7	failed	no_valid_pocket
Q12809_2N7G	failed	no_valid_pocket
Q12809_4HP9	failed	no_valid_pocket
Q12809_4HQA	failed	no_valid_pocket
Q12809_5VA1	failed	no_valid_pocket
Q12809_5VA2	failed	no_valid_pocket
Q12809_5VA3	failed	no_valid_pocket
Q12809_8IO4	failed	no_valid_pocket
Q12809_8IO5	failed	no_valid_pocket
Q12809_8IOB	failed	no_valid_pocket
Q12809_8ZYN	failed	no_valid_pocket
Q12809_8ZYO	failed	no_valid_pocket
Q12809_8ZYP	failed	no_valid_pocket
Q12809_8ZYQ	failed	no_valid_pocket
Q12809_9CHP	failed	no_valid_pocket
Q12809_9CHQ	failed	no_valid_pocket
Q12809_9CHR	failed	no_valid_pocket
Q12809_9CHS	failed	no_valid_pocket
Q12809_af2	failed	no_valid_pocket
Q13936_1T0J	failed	no_valid_pocket
Q13936_2BE6	failed	no_valid_pocket
Q13936_2F3Y	failed	no_valid_pocket
Q13936_2F3Z	failed	no_valid_pocket
Q13936_2LQC	failed	no_valid_pocket
Q13936_3G43	failed	no_valid_pocket
Q13936_3OXQ	failed	no_valid_pocket
Q13936_5V2P	failed	no_valid_pocket
Q13936_5V2Q	failed	no_valid_pocket
Q13936_6C0A	failed	no_valid_pocket
Q13936_6DAD	failed	no_valid_pocket
Q13936_6DAE	failed	no_valid_pocket
Q13936_6DAF	failed	no_valid_pocket
Q13936_6U39	failed	no_valid_pocket
Q13936_6U3A	failed	no_valid_pocket
Q13936_6U3B	failed	no_valid_pocket
Q13936_6U3D	failed	no_valid_pocket
Q13936_7L8V	failed	no_valid_pocket
Q13936_8EOG	failed	no_valid_pocket
Q13936_8EOI	failed	no_valid_pocket
Q13936_8FD7	failed	no_valid_pocket
Q13936_8FHS	failed	no_valid_pocket
Q13936_8HLP	failed	no_valid_pocket
Q13936_8HMA	failed	no_valid_pocket
Q13936_8HMB	failed	no_valid_pocket
Q13936_af2	failed	no_valid_pocket
Q14330_af2	failed	no_valid_pocket
Q9UL62_6YSN	failed	no_valid_pocket
Q9UL62_7D4P	failed	no_valid_pocket
Q9UL62_7D4Q	failed	no_valid_pocket
Q9UL62_7E4T	failed	no_valid_pocket
Q9UL62_7WDB	failed	no_valid_pocket
Q9UL62_7X6C	failed	no_valid_pocket
Q9UL62_7X6I	failed	no_valid_pocket
Q9UL62_8GVW	failed	no_valid_pocket
Q9UL62_8GVX	failed	no_valid_pocket
Q9UL62_9G4Y	failed	no_valid_pocket
Q9UL62_9G50	failed	no_valid_pocket
Q9UL62_9GKB	failed	no_valid_pocket
Q9UL62_9GL6	failed	no_valid_pocket
Q9UL62_9KHI	failed	no_valid_pocket
Q9UL62_9KHJ	failed	no_valid_pocket
Q9UL62_9KHK	failed	no_valid_pocket
Q9UL62_9LZY	failed	no_valid_pocket
Q9UL62_9LZZ	failed	no_valid_pocket
Q9UL62_9M36	failed	no_valid_pocket
Q9UL62_9M4W	failed	no_valid_pocket
Q9UL62_9M5V	failed	no_valid_pocket
Q9UL62_9RRF	failed	no_valid_pocket
Q9UL62_9RRM	failed	no_valid_pocket
Q9UL62_9RRN	failed	no_valid_pocket
Q9UL62_9RRO	failed	no_valid_pocket
Q9UL62_af2	failed	no_valid_pocket
