systematic	common	init_type	n_symbols_in_scf	human_symbols_used	sources
YAL026C	DRS2	ortholog	14	ATP10A,ATP10B,ATP10D,ATP11A,ATP11B,ATP11C,ATP8A1,ATP8A2,ATP8B1,ATP8B2,ATP8B3,ATP8B4,ATP9A,ATP9B	InParanoid,OMA,OrthoDB
YAL026C-A		random	0		
YAL027W	SAW1	random	0		
YAL028W	FRT2	random	0		
YAL029C	MYO4	ortholog	3	MYO5A,MYO5B,MYO5C	InParanoid
YAL030W	SNC1	ortholog	5	VAMP1,VAMP2,VAMP3,VAMP4,VAMP8	InParanoid,OMA
YAL031C	GIP4	random	0		
YAL031W-A		random	0		
YAL032C	PRP45	ortholog	1	SNW1	InParanoid
YAL033W	POP5	ortholog	1	POP5	InParanoid
YAL034C	FUN19	random	0		
YAL034C-B		random	0		
YAL034W-A	MTW1	random	0		
YAL035W	FUN12	ortholog	1	EIF5B	OMA
YAL036C	RBG1	ortholog	1	DRG1	InParanoid,OMA
YAL037C-A		random	0		
YAL037C-B		random	0		
YAL037W		random	0		
YAL038W	CDC19	ortholog	2	PKLR,PKM	InParanoid,OMA
YAL039C	CYC3	ortholog	1	HCCS	InParanoid,OMA
YAL040C	CLN3	random	0		
YAL041W	CDC24	random	0		
YAL042C-A		random	0		
YAL042W	ERV46	ortholog	2	ERGIC1,ERGIC3	InParanoid,OMA
YAL043C	PTA1	random	0		
YAL044C	GCV3	ortholog	1	GCSH	InParanoid,OMA
YAL044W-A	BOL1	ortholog	1	BOLA1	InParanoid
YAL045C		random	0		
YAL046C	BOL3	ortholog	1	BOLA3	InParanoid
YAL047C	SPC72	random	0		
YAL047W-A		random	0		
YAL048C	GEM1	ortholog	2	RHOT1,RHOT2	InParanoid,OMA
YAL049C	AIM2	ortholog	1	CMBL	InParanoid,OMA
YAL051W	OAF1	random	0		
YAL053W	FLC2	random	0		
YAL054C	ACS1	ortholog	2	ACSS1,ACSS2	InParanoid,OMA
YAL055W	PEX22	random	0		
YAL056C-A		random	0		
YAL056W	GPB2	random	0		
YAL058W	CNE1	random	0		
YAL059C-A		random	0		
YAL059W	ECM1	random	0		
YAL060W	BDH1	random	0		
YAL061W	BDH2	random	0		
YAL062W	GDH3	ortholog	2	GLUD1,GLUD2	InParanoid,OMA
YAL063C	FLO9	random	0		
YAL063C-A		random	0		
YAL064C-A	TDA8	random	0		
YAL064W		random	0		
YAL064W-B		random	0		
YAL065C		random	0		
YAL066W		random	0		
YAL067C	SEO1	random	0		
YAL067W-A		random	0		
YAL068C	PAU8	random	0		
YAL068W-A		random	0		
YAL069W		random	0		
YAR002C-A	ERP1	ortholog	2	TMED4,TMED9	InParanoid,OMA
YAR002W	NUP60	random	0		
YAR003W	SWD1	ortholog	1	RBBP5	InParanoid,OMA
YAR007C	RFA1	ortholog	1	RPA1	InParanoid,OMA
YAR008W	SEN34	ortholog	1	TSEN34	InParanoid
YAR009C	TY1B-A	random	0		
YAR010C	TY1A-A	random	0		
YAR014C	BUD14	random	0		
YAR015W	ADE1	ortholog	1	PAICS	InParanoid
YAR018C	KIN3	ortholog	1	NEK2	InParanoid
YAR019C	CDC15	random	0		
YAR019W-A		random	0		
YAR020C	PAU7	random	0		
YAR023C	DFP1	random	0		
YAR027W	UIP3	random	0		
YAR028W	KTD1	random	0		
YAR029W	DFP2	random	0		
YAR030C		random	0		
YAR031W	PRM9	random	0		
YAR033W	MST28	random	0		
YAR035C-A		random	0		
YAR035W	YAT1	ortholog	1	CPT2	InParanoid,OMA
YAR042W	SWH1	ortholog	2	OSBP,OSBP2	InParanoid,OMA
YAR047C		random	0		
YAR050W	FLO1	random	0		
YAR053W		random	0		
YAR060C		random	0		
YAR061W		random	0		
YAR062W		random	0		
YAR064W		random	0		
YAR066W		random	0		
YAR068W		random	0		
YAR069C		random	0		
YAR070C		random	0		
YAR071W	PHO11	ortholog	1	MINPP1	InParanoid,OMA
YAR073W	IMD1	random	0		
YAR075W		random	0		
YBL001C	ECM15	random	0		
YBL002W	HTB2	ortholog	13	H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC18,H2BC21,H2BC3,H2BC5,H2BC9	InParanoid,OMA
YBL003C	HTA2	ortholog	9	H2AC1,H2AC12,H2AC14,H2AC20,H2AC21,H2AC6,H2AC7,H2AJ,H2AX	InParanoid,OMA
YBL004W	UTP20	ortholog	1	UTP20	InParanoid,OMA
YBL005W	PDR3	random	0		
YBL005W-A	TY1A-BL	random	0		
YBL005W-B	TY1B-BL	random	0		
YBL006C	LDB7	random	0		
YBL006W-A		random	0		
YBL007C	SLA1	random	0		
YBL008W	HIR1	random	0		
YBL008W-A		random	0		
YBL009W	ALK2	random	0		
YBL010C	LAA2	random	0		
YBL011W	SCT1	random	0		
YBL012C		random	0		
YBL013W	FMT1	ortholog	1	MTFMT	InParanoid
YBL014C	RRN6	random	0		
YBL015W	ACH1	random	0		
YBL016W	FUS3	ortholog	6	MAPK1,MAPK11,MAPK12,MAPK13,MAPK14,MAPK3	InParanoid,OMA
YBL017C	PEP1	random	0		
YBL018C	POP8	random	0		
YBL019W	APN2	ortholog	1	APEX2	InParanoid,OMA
YBL020W	RFT1	ortholog	1	RFT1	InParanoid,OMA
YBL021C	HAP3	ortholog	2	NFYB,POLE3	InParanoid,OMA
YBL022C	PIM1	ortholog	1	LONP1	InParanoid,OMA
YBL023C	MCM2	ortholog	1	MCM2	InParanoid,OMA
YBL024W	NCL1	ortholog	1	NSUN2	InParanoid,OMA
YBL025W	RRN10	random	0		
YBL026W	LSM2	ortholog	1	LSM2	InParanoid,OMA
YBL027W	RPL19B	ortholog	1	RPL19	InParanoid
YBL028C		random	0		
YBL029C-A		random	0		
YBL029W		random	0		
YBL030C	PET9	ortholog	4	SLC25A31,SLC25A4,SLC25A5,SLC25A6	InParanoid,OMA
YBL031W	SHE1	random	0		
YBL032W	HEK2	random	0		
YBL033C	RIB1	random	0		
YBL034C	STU1	random	0		
YBL035C	POL12	ortholog	1	POLA2	InParanoid
YBL036C		ortholog	1	PLPBP	InParanoid,OMA
YBL037W	APL3	ortholog	2	AP2A1,AP2A2	InParanoid
YBL038W	MRPL16	random	0		
YBL039C	URA7	ortholog	2	CTPS1,CTPS2	InParanoid,OMA
YBL039C-A		random	0		
YBL039W-B		random	0		
YBL040C	ERD2	ortholog	3	KDELR1,KDELR2,KDELR3	InParanoid,OMA
YBL041W	PRE7	ortholog	1	PSMB1	InParanoid,OMA
YBL042C	FUI1	random	0		
YBL043W	ECM13	random	0		
YBL044W		random	0		
YBL045C	COR1	random	0		
YBL046W	PSY4	random	0		
YBL047C	EDE1	random	0		
YBL048W	RRT1	random	0		
YBL049W	MOH1	ortholog	4	YPEL1,YPEL2,YPEL3,YPEL4	InParanoid,OMA
YBL050W	SEC17	ortholog	2	NAPA,NAPB	InParanoid,OMA
YBL051C	PIN4	random	0		
YBL052C	SAS3	random	0		
YBL053W		random	0		
YBL054W	TOD6	random	0		
YBL055C		ortholog	1	TATDN1	InParanoid,OMA
YBL056W	PTC3	ortholog	2	PPM1B,PPM1G	InParanoid,OMA
YBL057C	PTH2	ortholog	1	PTRH2	InParanoid
YBL058W	SHP1	ortholog	2	NSFL1C,UBXN2B	InParanoid,OMA
YBL059C-A	CMC2	ortholog	1	CMC2	InParanoid
YBL059W		random	0		
YBL060W	YEL1	random	0		
YBL061C	SKT5	random	0		
YBL062W		random	0		
YBL063W	KIP1	ortholog	1	KIF11	InParanoid
YBL064C	PRX1	ortholog	1	PRDX6	InParanoid,OMA
YBL065W		random	0		
YBL066C	SEF1	random	0		
YBL067C	UBP13	ortholog	2	USP12,USP46	InParanoid
YBL068W	PRS4	ortholog	3	PRPS1,PRPS1L1,PRPS2	InParanoid,OMA
YBL068W-A		random	0		
YBL069W	AST1	random	0		
YBL070C		random	0		
YBL071C		random	0		
YBL071C-B		random	0		
YBL071W-A	KTI11	ortholog	1	DPH3	InParanoid,OMA
YBL072C	RPS8A	ortholog	1	RPS8	InParanoid,OMA
YBL073W		random	0		
YBL074C	AAR2	ortholog	1	AAR2	InParanoid
YBL075C	SSA3	ortholog	6	HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8	InParanoid,OMA
YBL076C	ILS1	ortholog	1	IARS1	InParanoid,OMA
YBL077W		random	0		
YBL078C	ATG8	ortholog	4	GABARAP,GABARAPL1,GABARAPL2,MAP1LC3B2	InParanoid,OMA,OrthoDB
YBL079W	NUP170	ortholog	1	NUP155	InParanoid,OMA
YBL080C	PET112	ortholog	1	GATB	InParanoid,OMA
YBL081W		random	0		
YBL082C	ALG3	ortholog	1	ALG3	InParanoid,OMA
YBL083C		random	0		
YBL084C	CDC27	ortholog	1	CDC27	InParanoid,OMA
YBL085W	BOI1	random	0		
YBL086C		random	0		
YBL087C	RPL23A	ortholog	1	RPL23	InParanoid,OMA
YBL088C	TEL1	random	0		
YBL089W	AVT5	ortholog	5	SLC38A2,SLC38A3,SLC38A6,SLC38A7,SLC38A8	InParanoid,OMA
YBL090W	MRP21	random	0		
YBL091C	MAP2	ortholog	1	METAP2	InParanoid,OMA
YBL091C-A	SCS22	ortholog	2	VAPA,VAPB	InParanoid
YBL092W	RPL32	ortholog	1	RPL32	InParanoid,OMA
YBL093C	ROX3	random	0		
YBL094C		random	0		
YBL095W	MRX3	random	0		
YBL096C		random	0		
YBL097W	BRN1	ortholog	1	NCAPH	InParanoid,OMA
YBL098W	BNA4	ortholog	1	KMO	InParanoid,OMA
YBL099W	ATP1	ortholog	1	ATP5F1A	InParanoid,OMA
YBL100C		random	0		
YBL100W-A	TY2A-B	random	0		
YBL100W-B	TY2B-B	random	0		
YBL100W-C		random	0		
YBL101C	ECM21	random	0		
YBL102W	SFT2	ortholog	1	SFT2D3	InParanoid
YBL103C	RTG3	random	0		
YBL104C	SEA4	ortholog	1	MIOS	InParanoid
YBL105C	PKC1	ortholog	7	PRKCA,PRKCB,PRKCD,PRKCE,PRKCG,PRKCH,PRKCQ	InParanoid
YBL106C	SRO77	random	0		
YBL107C	MIX23	random	0		
YBL107W-A		random	0		
YBL108C-A	PAU9	random	0		
YBL108W		random	0		
YBL109W		random	0		
YBL111C		random	0		
YBL112C		random	0		
YBL113C		random	0		
YBL113W-A		random	0		
YBR001C	NTH2	ortholog	1	TREH	InParanoid
YBR002C	RER2	ortholog	1	DHDDS	InParanoid,OMA
YBR003W	COQ1	ortholog	1	PDSS1	InParanoid
YBR004C	GPI18	ortholog	1	PIGV	InParanoid
YBR005W	RCR1	random	0		
YBR006W	UGA2	ortholog	1	ALDH5A1	InParanoid,OMA
YBR007C	DSF2	random	0		
YBR008C	FLR1	random	0		
YBR009C	HHF1; HHF2	random	0		InParanoid,OMA
YBR010W	HHT1; HHT2	ortholog	3	H3-4,H3-5,H3-7	InParanoid,OMA
YBR011C	IPP1	ortholog	2	PPA1,PPA2	InParanoid,OMA
YBR012C		random	0		
YBR012W-A	TY1A-BR	random	0		
YBR012W-B	TY1B-BR	random	0		
YBR013C		random	0		
YBR014C	GRX7	ortholog	1	GLRX2	InParanoid
YBR015C	MNN2	random	0		
YBR016W	CPP1	random	0		
YBR017C	KAP104	ortholog	2	TNPO1,TNPO2	InParanoid,OMA
YBR018C	GAL7	ortholog	1	GALT	InParanoid,OMA
YBR019C	GAL10	random	0		
YBR020W	GAL1	ortholog	1	GALK2	InParanoid,OMA
YBR021W	FUR4	random	0		
YBR022W	POA1	random	0		
YBR023C	CHS3	random	0		
YBR024W	SCO2	ortholog	2	SCO1,SCO2	InParanoid
YBR025C	OLA1	ortholog	1	OLA1	InParanoid,OMA
YBR026C	ETR1	ortholog	1	MECR	InParanoid,OMA
YBR027C		random	0		
YBR028C	YPK3	random	0		
YBR029C	CDS1	ortholog	2	CDS1,CDS2	InParanoid,OMA
YBR030W	RKM3	random	0		
YBR031W	RPL4A	ortholog	1	RPL4	InParanoid,OMA
YBR032W		random	0		
YBR033W	EDS1	random	0		
YBR034C	HMT1	ortholog	2	PRMT1,PRMT8	InParanoid,OMA
YBR035C	PDX3	ortholog	1	PNPO	InParanoid,OMA
YBR036C	CSG2	random	0		
YBR037C	SCO1	ortholog	2	SCO1,SCO2	InParanoid,OMA
YBR038W	CHS2	random	0		
YBR039W	ATP3	ortholog	1	ATP5F1C	InParanoid,OMA
YBR040W	FIG1	random	0		
YBR041W	FAT1	ortholog	6	SLC27A1,SLC27A2,SLC27A3,SLC27A4,SLC27A5,SLC27A6	InParanoid,OMA
YBR042C	CST26	ortholog	3	AGPAT3,AGPAT4,AGPAT5	InParanoid,OMA
YBR043C	QDR3	random	0		
YBR044C	TCM62	random	0		
YBR045C	GIP1	random	0		
YBR046C	ZTA1	ortholog	1	TP53I3	InParanoid
YBR047W	FMP23	random	0		
YBR048W	RPS11B	ortholog	1	RPS11	InParanoid,OMA
YBR049C	REB1	random	0		
YBR050C	REG2	random	0		
YBR051W		random	0		
YBR052C	RFS1	random	0		
YBR053C		random	0		
YBR054W	YRO2	random	0		
YBR055C	PRP6	ortholog	1	PRPF6	OMA
YBR056C-B		random	0		
YBR056W		random	0		
YBR056W-A		random	0		
YBR057C	MUM2	random	0		
YBR058C	UBP14	ortholog	2	USP13,USP5	InParanoid,OMA
YBR058C-A	TSC3	random	0		
YBR059C	AKL1	random	0		
YBR060C	ORC2	ortholog	1	ORC2	InParanoid
YBR061C	TRM7	ortholog	1	FTSJ1	InParanoid,OMA
YBR062C		random	0		
YBR063C		random	0		
YBR064W		random	0		
YBR065C	ECM2	random	0		
YBR066C	NRG2	random	0		
YBR067C	TIP1	random	0		
YBR068C	BAP2	ortholog	2	SLC7A14,SLC7A4	InParanoid
YBR069C	TAT1	ortholog	2	SLC7A14,SLC7A4	InParanoid,OMA
YBR070C	ALG14	ortholog	1	ALG14	InParanoid,OMA
YBR071W		random	0		
YBR072C-A		random	0		
YBR072W	HSP26	random	0		
YBR073W	RDH54	random	0		
YBR074W	PFF1	random	0		
YBR076C-A		random	0		
YBR076W	ECM8	random	0		
YBR077C	SLM4	random	0		
YBR078W	ECM33	random	0		
YBR079C	RPG1	ortholog	1	EIF3A	InParanoid,OMA
YBR080C	SEC18	ortholog	1	NSF	InParanoid,OMA
YBR081C	SPT7	random	0		
YBR082C	UBC4	ortholog	10	UBE2D1,UBE2D2,UBE2D3,UBE2D4,UBE2E1,UBE2E2,UBE2E3,UBE2N,UBE2NL,UBE2T	InParanoid,OMA,OrthoDB
YBR083W	TEC1	random	0		
YBR084C-A	RPL19A	ortholog	1	RPL19	InParanoid,OMA
YBR084W	MIS1	ortholog	2	MTHFD1,MTHFD1L	InParanoid,OMA
YBR085C-A		random	0		
YBR085W	AAC3	ortholog	4	SLC25A31,SLC25A4,SLC25A5,SLC25A6	InParanoid,OMA
YBR086C	IST2	random	0		
YBR087W	RFC5	ortholog	1	RFC3	InParanoid,OMA
YBR088C	POL30	ortholog	1	PCNA	InParanoid,OMA
YBR089C-A	NHP6B	random	0		
YBR089W		random	0		
YBR090C		random	0		
YBR091C	TIM12	random	0		
YBR092C	PHO3	ortholog	1	MINPP1	InParanoid,OMA
YBR093C	PHO5	ortholog	1	MINPP1	InParanoid,OMA
YBR094W	PBY1	random	0		
YBR095C	RXT2	random	0		
YBR096W		random	0		
YBR097W	VPS15	ortholog	1	PIK3R4	InParanoid
YBR098W	MMS4	random	0		
YBR099C		random	0		
YBR101C	FES1	random	0		
YBR102C	EXO84	random	0		
YBR103C-A		random	0		
YBR103W	SIF2	ortholog	3	TBL1X,TBL1XR1,TBL1Y	InParanoid,OMA
YBR104W	YMC2	ortholog	7	SLC25A15,SLC25A2,SLC25A20,SLC25A29,SLC25A45,SLC25A47,SLC25A48	InParanoid,OMA
YBR105C	VID24	ortholog	2	GID4,UBTD1	InParanoid,OrthoDB
YBR106W	PHO88	random	0		
YBR107C	IML3	random	0		
YBR108W	AIM3	ortholog	2	AFF1,RBM33	OMA
YBR109C	CMD1	ortholog	4	CALM1,CALM2,CALM3,CALML3	InParanoid,OMA
YBR109W-A		random	0		
YBR110W	ALG1	ortholog	1	ALG1	InParanoid,OMA
YBR111C	YSA1	ortholog	1	NUDT5	InParanoid,OMA
YBR111W-A	SUS1	ortholog	1	ENY2	OMA
YBR112C	CYC8	random	0		
YBR113W		random	0		
YBR114W	RAD16	ortholog	1	TTF2	InParanoid
YBR115C	LYS2	random	0		
YBR116C		random	0		
YBR117C	TKL2	ortholog	3	TKT,TKTL1,TKTL2	InParanoid,OMA
YBR119W	MUD1	random	0		
YBR120C	CBP6	random	0		
YBR121C	GRS1	ortholog	1	GARS1	InParanoid,OMA
YBR121C-A		random	0		
YBR122C	MRPL36	random	0		
YBR123C	TFC1	random	0		
YBR124W		random	0		
YBR125C	PTC4	random	0		
YBR126C	TPS1	random	0		
YBR126W-A		random	0		
YBR126W-B		random	0		
YBR127C	VMA2	ortholog	2	ATP6V1B1,ATP6V1B2	InParanoid,OMA
YBR128C	ATG14	random	0		
YBR129C	OPY1	random	0		
YBR130C	SHE3	ortholog	1	SHTN1	InParanoid
YBR131C-A		random	0		
YBR131W	CCZ1	random	0		
YBR132C	AGP2	ortholog	2	SLC7A14,SLC7A4	InParanoid
YBR133C	HSL7	ortholog	1	PRMT5	InParanoid,OMA
YBR134W		random	0		
YBR135W	CKS1	ortholog	2	CKS1B,CKS2	InParanoid
YBR136W	MEC1	ortholog	1	ATR	InParanoid
YBR137W		random	0		
YBR138C		random	0		
YBR139W	ATG42	ortholog	1	CTSA	InParanoid,OMA
YBR140C	IRA1	random	0		
YBR141C	BMT2	random	0		
YBR141W-A		random	0		
YBR142W	MAK5	ortholog	1	DDX24	InParanoid
YBR143C	SUP45	ortholog	1	ETF1	InParanoid,OMA
YBR144C		random	0		
YBR145W	ADH5	random	0		
YBR146W	MRPS9	random	0		
YBR147W	RTC2	ortholog	1	SLC66A1	InParanoid,OMA
YBR148W	YSW1	random	0		
YBR149W	ARA1	ortholog	11	AKR1A1,AKR1B1,AKR1B10,AKR1B15,AKR1C1,AKR1C2,AKR1C3,AKR1C8,AKR1D1,AKR1E2,AR	OMA,OrthoDB
YBR150C	TBS1	random	0		
YBR151W	APD1	random	0		
YBR152W	SPP381	random	0		
YBR153W	RIB7	random	0		
YBR154C	RPB5	ortholog	1	POLR2E	InParanoid,OMA
YBR155W	CNS1	ortholog	1	TTC4	InParanoid,OMA
YBR156C	SLI15	random	0		
YBR157C	ICS2	random	0		
YBR158W	AMN1	random	0		
YBR159W	IFA38	ortholog	3	HSD17B12,HSD17B3,HSDL1	InParanoid,OMA
YBR160W	CDC28	ortholog	3	CDK1,CDK2,CDK3	InParanoid,OMA
YBR161W	CSH1	random	0		
YBR162C	TOS1	random	0		
YBR162W-A	YSY6	random	0		
YBR163W	EXO5	random	0		
YBR164C	ARL1	ortholog	16	ARF1,ARF3,ARF4,ARF5,ARF6,ARL1,ARL11,ARL14,ARL17B,ARL3,ARL4A,ARL4C,ARL4D,ARL5A,ARL5B,ARL5C	InParanoid,OMA,OrthoDB
YBR165W	UBS1	random	0		
YBR166C	TYR1	random	0		
YBR167C	POP7	random	0		
YBR168W	PEX32	random	0		
YBR169C	SSE2	ortholog	3	HSPA4,HSPA4L,HSPH1	InParanoid,OMA
YBR170C	NPL4	ortholog	1	NPLOC4	InParanoid,OMA
YBR171W	SEC66	random	0		
YBR172C	SMY2	random	0		
YBR173C	UMP1	ortholog	1	POMP	InParanoid
YBR174C		random	0		
YBR175W	SWD3	ortholog	2	WDR5,WDR5B	OMA
YBR176W	ECM31	random	0		
YBR177C	EHT1	ortholog	2	ABHD1,ABHD3	InParanoid,OMA
YBR178W		random	0		
YBR179C	FZO1	random	0		
YBR180W	DTR1	random	0		
YBR181C	RPS6B	ortholog	1	RPS6	InParanoid,OMA
YBR182C	SMP1	random	0		
YBR182C-A		random	0		
YBR183W	YPC1	ortholog	1	ACER3	InParanoid,OMA
YBR184W		random	0		
YBR185C	MBA1	random	0		
YBR186W	PCH2	ortholog	1	TRIP13	InParanoid
YBR187W	GDT1	ortholog	1	TMEM165	InParanoid,OMA
YBR188C	NTC20	random	0		
YBR189W	RPS9B	ortholog	1	RPS9	InParanoid,OMA
YBR190W		random	0		
YBR191W	RPL21A	ortholog	1	RPL21	InParanoid
YBR191W-A		random	0		
YBR192W	RIM2	ortholog	5	SLC25A17,SLC25A32,SLC25A33,SLC25A36,SLC25A41	InParanoid,OMA
YBR193C	MED8	random	0		
YBR194W	AIM4	random	0		
YBR195C	MSI1	random	0		
YBR196C	PGI1	ortholog	1	GPI	InParanoid,OMA
YBR196C-A		random	0		
YBR196C-B		random	0		
YBR197C		random	0		
YBR198C	TAF5	ortholog	2	TAF5,TAF5L	InParanoid,OMA
YBR199W	KTR4	random	0		
YBR200W	BEM1	random	0		
YBR200W-A		random	0		
YBR201C-A		random	0		
YBR201W	DER1	random	0		
YBR202W	MCM7	ortholog	1	MCM7	InParanoid,OMA
YBR203W	COS111	random	0		
YBR204C	LDH1	random	0		
YBR205W	KTR3	random	0		
YBR206W		random	0		
YBR207W	FTH1	random	0		
YBR208C	DUR1,2	random	0		
YBR209W		random	0		
YBR210W	ERV15	ortholog	3	CNIH1,CNIH2,CNIH4	InParanoid,OMA,OrthoDB
YBR211C	AME1	random	0		
YBR212W	NGR1	random	0		
YBR213W	MET8	random	0		
YBR214W	SDS24	random	0		
YBR215W	HPC2	random	0		
YBR216C	YBP1	random	0		
YBR217W	ATG12	random	0		
YBR218C	PYC2	ortholog	1	PC	InParanoid
YBR219C		random	0		
YBR220C		ortholog	1	SLC33A1	InParanoid,OMA
YBR221C	PDB1	ortholog	1	PDHB	InParanoid,OMA
YBR221W-A		random	0		
YBR222C	PCS60	ortholog	2	ACSF2,ACSF3	InParanoid,OMA
YBR223C	TDP1	ortholog	1	TDP1	InParanoid,OMA
YBR223W-A		random	0		
YBR224W		random	0		
YBR225W		random	0		
YBR226C		random	0		
YBR227C	MCX1	ortholog	1	CLPX	InParanoid,OMA
YBR228W	SLX1	random	0		
YBR229C	ROT2	ortholog	2	GANAB,GANC	InParanoid,OMA
YBR230C	OM14	random	0		
YBR230W-A		random	0		
YBR231C	SWC5	ortholog	1	CFDP1	InParanoid
YBR232C		random	0		
YBR233W	PBP2	ortholog	4	PCBP1,PCBP2,PCBP3,PCBP4	InParanoid,OMA
YBR233W-A	DAD3	random	0		
YBR234C	ARC40	ortholog	2	ARPC1A,ARPC1B	InParanoid,OMA
YBR235W	VHC1	ortholog	1	SLC12A9	InParanoid,OMA
YBR236C	ABD1	ortholog	1	RNMT	InParanoid
YBR237W	PRP5	ortholog	1	DDX46	InParanoid,OMA
YBR238C		random	0		
YBR239C	ERT1	random	0		
YBR240C	THI2	random	0		
YBR241C		ortholog	9	SLC2A1,SLC2A11,SLC2A14,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A7,SLC2A9	InParanoid
YBR242W		ortholog	1	HDDC2	InParanoid
YBR243C	ALG7	ortholog	1	DPAGT1	InParanoid,OMA
YBR244W	GPX2	ortholog	4	GPX4,GPX5,GPX7,GPX8	InParanoid,OMA
YBR245C	ISW1	ortholog	2	SMARCA1,SMARCA5	InParanoid,OMA
YBR246W	RRT2	random	0		
YBR247C	ENP1	ortholog	1	BYSL	InParanoid,OMA
YBR248C	HIS7	random	0		
YBR249C	ARO4	random	0		
YBR250W	SPO23	random	0		
YBR251W	MRPS5	random	0		
YBR252W	DUT1	ortholog	1	DUT	InParanoid,OMA
YBR253W	SRB6	random	0		
YBR254C	TRS20	ortholog	2	TRAPPC2,TRAPPC2B	InParanoid,OMA
YBR255C-A		random	0		
YBR255W	MTC4	random	0		
YBR256C	RIB5	random	0		
YBR257W	POP4	ortholog	1	POP4	InParanoid
YBR258C	SHG1	random	0		
YBR259W		random	0		
YBR260C	RGD1	ortholog	3	ARHGAP29,ARHGAP45,GMIP	InParanoid
YBR261C	TAE1	ortholog	2	NTMT1,NTMT2	InParanoid,OMA
YBR262C	MIC12	random	0		
YBR263W	SHM1	ortholog	2	SHMT1,SHMT2	OMA
YBR264C	YPT10	random	0		
YBR265W	TSC10	ortholog	1	KDSR	InParanoid
YBR266C	SLM6	random	0		
YBR267W	REI1	ortholog	1	ZNF622	InParanoid,OMA
YBR268W	MRPL37	random	0		
YBR269C	SDH8	random	0		
YBR270C	BIT2	random	0		
YBR271W	EFM2	random	0		
YBR272C	HSM3	random	0		
YBR273C	UBX7	random	0		
YBR274W	CHK1	ortholog	1	CHEK1	InParanoid
YBR275C	RIF1	random	0		
YBR276C	PPS1	random	0		
YBR277C		random	0		
YBR278W	DPB3	random	0		
YBR279W	PAF1	ortholog	1	PAF1	OMA
YBR280C	SAF1	random	0		
YBR281C	DUG2	random	0		
YBR282W	MRPL27	random	0		
YBR283C	SSH1	random	0		
YBR284W		ortholog	1	AMPD2	OMA
YBR285W		random	0		
YBR286W	APE3	random	0		
YBR287W		random	0		
YBR288C	APM3	random	0		
YBR289W	SNF5	random	0		
YBR290W	BSD2	random	0		
YBR291C	CTP1	ortholog	3	SLC25A1,SLC25A21,UCP2	InParanoid,OMA
YBR292C		random	0		
YBR293W	VBA2	random	0		
