target_id	target_family	membership_sources	uniprot_entries	gene_aliases	protein_name	protein_length	keywords	is_calibration_control	ranking_bonus
ADGRE2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9UHX3	EMR2	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)	823		False	0.0
ADGRE3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BY15	EMR3;UNQ683/PRO1562	Adhesion G protein-coupled receptor E3 (EGF-like module receptor 3) (EGF-like module-containing mucin-like hormone receptor-like 3)	652		False	0.0
ADGRE4P	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q86SQ3	EMR4;EMR4P;GPR127;PGR16	Putative adhesion G protein-coupled receptor E4P (EGF-like module receptor 4) (EGF-like module-containing mucin-like hormone receptor-like 4) (G protein-coupled receptor 127) (G protein-coupled receptor PGR16)	457		False	0.0
ADGRE5	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P48960	CD97	Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta]	835		False	0.0
ADGRF1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q5T601	GPR110;PGR19	Adhesion G protein-coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) [Cleaved into: Adhesion G protein-coupled receptor F1, N-terminal fragment (ADGRF1 N-terminal fragment); Adhesion G protein-coupled receptor F1, C-terminal fragment (ADGRF1 C-terminal fragment)]	910		False	0.0
ADGRF2P	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZF7	ADGRF2;GPR111;PGR20	Putative adhesion G protein-coupled receptor F2P (Adhesion G protein-coupled receptor F2) (G protein-coupled receptor 111) (G protein-coupled receptor PGR20)	708		False	0.0
ADGRF3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZF5	GPR113;PGR23;UNQ9196/PRO34000	Adhesion G protein-coupled receptor F3 (G protein-coupled receptor 113) (G protein-coupled receptor PGR23)	1079		False	0.0
ADGRF4	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZF3	GPR115;PGR18	Adhesion G protein-coupled receptor F4 (G protein-coupled receptor 115) (G protein-coupled receptor PGR18)	695		False	0.0
ADGRF5	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZF2	GPR116;KIAA0758	Adhesion G protein-coupled receptor F5 (G protein-coupled receptor 116)	1346		False	0.0
ADGRG1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9Y653	GPR56;TM7LN4;TM7XN1;UNQ540/PRO1083	Adhesion G protein-coupled receptor G1 (G protein-coupled receptor 56) [Cleaved into: Adhesion G protein-coupled receptor G1, N-terminal fragment (ADGRG1 N-terminal fragment) (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); Adhesion G protein-coupled receptor G1, C-terminal fragment (ADGRG1 C-terminal fragment) (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	693		False	0.0
ADGRG2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZP9	GPR64;HE6;TM7LN2	Adhesion G protein-coupled receptor G2 (G protein-coupled receptor 64) (Human epididymis-specific protein 6) (He6) [Cleaved into: Adhesion G protein-coupled receptor G2, N-terminal fragment (ADGRG2 N-terminal fragment); Adhesion G protein-coupled receptor G2, C-terminal fragment (ADGRG2 C-terminal fragment)]	1017		False	0.0
ADGRG3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q86Y34	GPR97;PGR26	Adhesion G protein-coupled receptor G3 (G protein-coupled receptor 97) [Cleaved into: Adhesion G protein-coupled receptor G3, N-terminal fragment (ADGRG3 N-terminal fragment); Adhesion G protein-coupled receptor G3, C-terminal fragment (ADGRG3 C-terminal fragment)]	549		False	0.0
ADGRG4	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZF6	GPR112	Adhesion G protein-coupled receptor G4 (G protein-coupled receptor 112) [Cleaved into: Adhesion G protein-coupled receptor G4, N-terminal fragment (ADGRG4 N-terminal fragment); Adhesion G protein-coupled receptor G4, C-terminal fragment (ADGRG4 C-terminal fragment)]	3080		False	0.0
ADGRG5	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZF4	GPR114;PGR27;UNQ2524/PRO6017	Adhesion G protein-coupled receptor G5 (G protein-coupled receptor 114) (G protein-coupled receptor PGR27) [Cleaved into: Adhesion G protein-coupled receptor G5, N-terminal fragment (ADGRG5 N-terminal fragment); Adhesion G protein-coupled receptor G5, C-terminal fragment (ADGRG5 C-terminal fragment)]	528		False	0.0
ADGRG6	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q86SQ4	DREG;GPR126;VIGR	Adhesion G protein-coupled receptor G6 (Developmentally regulated G protein-coupled receptor) (G protein-coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: Adhesion G protein-coupled receptor G6, N-terminal fragment (ADGRG6 N-terminal fragment) (ADGRG6-NTF); Adhesion G protein-coupled receptor G6, C-terminal fragment (ADGRG6 C-terminal fragment) (ADGRG6-CTF)]	1221		False	0.0
ADGRG7	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q96K78	GPR128	Adhesion G protein-coupled receptor G7 (G protein-coupled receptor 128)	797		False	0.0
ADGRL1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O94910	KIAA0821;LEC2;LPHN1	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	1474		False	0.0
ADGRL2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O95490	KIAA0786;LEC1;LPHH1;LPHN2	Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)	1459		False	0.0
ADGRL3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9HAR2	KIAA0768;LEC3;LPHN3	Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)	1447		False	0.0
ADGRL4	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9HBW9	ELTD1;ETL;UNQ202/PRO228	Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)	690		False	0.0
ADGRV1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8WXG9	GPR98;KIAA0686;KIAA1943;MASS1;VLGR1	Adhesion G protein-coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G protein-coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G protein-coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]	6306		False	0.0
ADORA1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P30542		Adenosine receptor A1	326		False	0.0
ADORA2A	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P29274	ADORA2	Adenosine receptor A2a	412		False	0.0
ADORA2B	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P29275		Adenosine receptor A2b	332		False	0.0
ADORA3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P0DMS8		Adenosine receptor A3	318		False	0.0
ADRA1A	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P35348	ADRA1C	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	466		False	0.0
ADRA1B	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P35368		Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	520		False	0.0
ADRA1D	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P25100	ADRA1A	Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a)	572		False	0.0
ADRA2A	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P08913	ADRA2R;ADRAR	Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	465		False	0.0
ADRA2B	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P18089	ADRA2L1;ADRA2RL1	Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	450		False	0.0
ADRA2C	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P18825	ADRA2L2;ADRA2RL2	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	462		False	0.0
ADRB1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P08588	ADRB1R;B1AR	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	477		False	0.0
ADRB2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P07550	ADRB2R;B2AR	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	413		False	0.0
ADRB3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P13945	ADRB3R;B3AR	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	408		False	0.0
AGTR1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P30556	AGTR1A;AGTR1B;AT2R1;AT2R1B	Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor)	359		False	0.0
AGTR2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P50052		Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor)	363		False	0.0
ANO1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ANO1_HUMAN	DOG1;ORAOV2;TAOS2;TMEM16A	Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2)		Alternative splicing;Calcium;Cell membrane;Cell projection;Chloride;Chloride channel;Developmental protein;Disease variant;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
ANO2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ANO2_HUMAN	C12orf3;TMEM16B	Anoctamin-2 (Transmembrane protein 16B)		Alternative splicing;Calcium;Cell membrane;Chloride;Chloride channel;Glycoprotein;Ion channel;Ion transport;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	False	0.0
ANO6	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ANO6_HUMAN	TMEM16F	Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F)		Alternative splicing;Calcium;Cell membrane;Chloride;Chloride channel;Disulfide bond;Glycoprotein;Host-virus interaction;Ion channel;Ion transport;Lipid transport;Membrane;Metal-binding;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	False	0.0
APLNR	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P35414	AGTRL1;APJ	Apelin receptor (Angiotensin receptor-like 1) (G protein-coupled receptor APJ) (G protein-coupled receptor HG11)	380		False	0.0
ASIC1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ASIC1_HUMAN	ACCN2;BNAC2	Acid-sensing ion channel 1 (ASIC1) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2)		3D-structure;Alternative splicing;Calcium;Calcium transport;Cell membrane;Cell projection;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Reference proteome;Sodium;Sodium channel;Sodium transport;Synapse;Transmembrane;Transmembrane helix;Transport	False	0.0
ASIC2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ASIC2_HUMAN	ACCN;ACCN1	Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive cation channel 1, neuronal) (Amiloride-sensitive cation channel neuronal 1) (Brain sodium channel 1) (BNC1) (BNaC1) (Mammalian degenerin homolog) (MDEG)		3D-structure;Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport	False	0.0
ASIC3	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ASIC3_HUMAN	ACCN3;DRASIC;SLNAC1;TNAC1	Acid-sensing ion channel 3 (ASIC3) (hASIC3) (Amiloride-sensitive cation channel 3) (Neuronal amiloride-sensitive cation channel 3) (Testis sodium channel 1) (hTNaC1)		Alternative splicing;Cell membrane;Cytoplasm;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Phosphoprotein;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport	False	0.0
ASIC4	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ASIC4_HUMAN	ACCN4	Acid-sensing ion channel 4 (ASIC4) (Amiloride-sensitive cation channel 4) (Amiloride-sensitive cation channel 4, pituitary)		Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Proteomics identification;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport	False	0.0
ASIC5	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	ASIC5_HUMAN	ACCN5	Bile acid-sensitive ion channel (BASIC) (Acid-sensing ion channel subunit family member 5) (Amiloride-sensitive cation channel 5, intestinal) (Human intestine Na(+) channel) (HINaC)		3D-structure;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport	False	0.0
AVPR1A	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P37288	AVPR1	Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor)	418		False	0.0
AVPR1B	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P47901	AVPR3;VPR3	Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)	424		False	0.0
AVPR2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P30518	ADHR;DIR;DIR3;V2R	Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)	371		False	0.0
BDKRB1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P46663	BRADYB1	B1 bradykinin receptor (B1R) (BK-1 receptor)	353		False	0.0
BDKRB2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P30411	BKR2	B2 bradykinin receptor (B2R) (BK-2 receptor)	391		False	0.0
BEST1	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	BEST1_HUMAN	VMD2	Bestrophin-1 (TU15B) (Vitelliform macular dystrophy protein 2)		3D-structure;Alternative splicing;Calcium;Cell membrane;Chloride;Chloride channel;Disease variant;Ion channel;Ion transport;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Retinitis pigmentosa;Sensory transduction;Transmembrane;Transmembrane helix;Transport;Vision	False	0.0
BEST2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	BEST2_HUMAN	VMD2L1	Bestrophin-2a (Vitelliform macular dystrophy 2-like protein 1)		3D-structure;Calcium;Cell membrane;Chloride;Chloride channel;Ion channel;Ion transport;Membrane;Metal-binding;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	False	0.0
BEST3	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	BEST3_HUMAN	VMD2L3	Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3)		Alternative splicing;Calcium;Cell membrane;Chloride;Chloride channel;Ion channel;Ion transport;Membrane;Metal-binding;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	False	0.0
BEST4	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	BEST4_HUMAN	VMD2L2	Bestrophin-4 (Vitelliform macular dystrophy 2-like protein 2)		Calcium;Cell membrane;Chloride;Chloride channel;Ion channel;Ion transport;Membrane;Metal-binding;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	False	0.0
BRS3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P32247		Bombesin receptor subtype-3 (BRS-3)	399		False	0.0
C3AR1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q16581	AZ3B;C3R1;HNFAG09	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)	482		False	0.0
C5AR1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P21730	C5AR;C5R1	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	350		False	0.0
C5AR2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9P296	C5L2;GPR77	C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G protein-coupled receptor 77)	337		False	0.0
CACNA1A	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	CAC1A_HUMAN	CACH4;CACN3;CACNL1A4	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)		3D-structure;Alternative splicing;Calcium;Calcium channel;Calcium transport;Cell membrane;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Membrane;Metal-binding;Neurodegeneration;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Spinocerebellar ataxia;Transmembrane;Transmembrane helix;Transport;Triplet repeat expansion;Voltage-gated channel	False	0.0
CACNA1B	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	CAC1B_HUMAN	CACH5;CACNL1A5	Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)		3D-structure;Alternative splicing;ATP-binding;Calcium;Calcium channel;Calcium transport;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Intellectual disability;Ion channel;Ion transport;Membrane;Metal-binding;Methylation;Nucleotide-binding;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	False	0.0
